"east","north","elevation","magnitude","slab"
"181.6","-33.0","-72","4.7","0-90 km"
"180.69","-21.33","-636","4.6","630-720 km"
"183.5","-19.44","-293","4.2","270-360 km"
"180.6","-34.89","-42","4.4","0-90 km"
"169.49","-20.24","-100","4.6","90-180 km"
"185.9","-22.55","-42","5.7","0-90 km"
"177.81","-36.95","-146","5.0","90-180 km"
"185.23","-15.75","-280","4.5","270-360 km"
"182.31","-16.85","-388","4.2","360-450 km"
"182.45","-19.06","-477","4.0","450-540 km"
"178.3","-26.11","-617","4.8","540-630 km"
"178.35","-26.2","-606","4.4","540-630 km"
"178.31","-26.13","-609","4.2","540-630 km"
"172.23","-13.66","-46","5.3","0-90 km"
"172.29","-13.47","-64","4.7","0-90 km"
"167.4","-14.6","-178","4.8","90-180 km"
"169.48","-18.96","-248","4.2","180-270 km"
"166.97","-14.65","-82","4.8","0-90 km"
"178.9","-19.9","-81","4.3","0-90 km"
"180.4","-22.05","-606","4.7","540-630 km"
"182.43","-19.22","-571","4.5","540-630 km"
"180.6","-31.24","-328","4.4","270-360 km"
"167.89","-17.93","-49","5.1","0-90 km"
"183.84","-19.3","-517","4.2","450-540 km"
"178.57","-26.53","-600","5.0","540-630 km"
"181.7","-27.72","-94","4.8","90-180 km"
"183.51","-19.19","-307","4.3","270-360 km"
"185.43","-17.43","-189","4.5","180-270 km"
"181.22","-17.05","-527","4.2","450-540 km"
"168.98","-19.52","-63","4.5","0-90 km"
"180.3","-23.71","-510","4.6","450-540 km"
"180.82","-21.3","-624","4.3","540-630 km"
"168.02","-16.24","-53","4.7","0-90 km"
"187.32","-16.14","-42","5.1","0-90 km"
"182.8","-23.95","-199","4.6","180-270 km"
"182.6","-25.2","-149","4.9","90-180 km"
"184.16","-18.84","-210","4.2","180-270 km"
"169.46","-12.66","-658","4.6","630-720 km"
"181.4","-20.65","-582","4.0","540-630 km"
"167.1","-13.23","-220","5.0","180-270 km"
"181.43","-29.91","-205","4.4","180-270 km"
"173.5","-14.31","-614","4.2","540-630 km"
"184.4","-20.1","-186","4.2","180-270 km"
"185.17","-17.8","-97","4.4","90-180 km"
"173.49","-21.27","-48","4.9","0-90 km"
"180.17","-23.58","-462","5.3","450-540 km"
"181.5","-17.9","-573","4.0","540-630 km"
"184.5","-23.34","-56","5.7","0-90 km"
"167.62","-15.56","-127","6.4","90-180 km"
"182.56","-23.83","-229","4.3","180-270 km"
"165.8","-11.8","-112","4.2","90-180 km"
"167.68","-15.54","-140","4.7","90-180 km"
"181.32","-20.65","-597","4.7","540-630 km"
"166.07","-11.75","-69","4.2","0-90 km"
"180.0","-24.81","-452","4.3","450-540 km"
"169.84","-20.9","-93","4.9","90-180 km"
"166.24","-11.34","-103","4.6","90-180 km"
"180.5","-17.98","-626","4.1","540-630 km"
"179.52","-24.34","-504","4.8","450-540 km"
"167.16","-13.86","-202","4.6","180-270 km"
"180.2","-35.56","-42","4.6","0-90 km"
"179.9","-35.48","-59","4.8","0-90 km"
"179.43","-34.2","-40","5.0","0-90 km"
"182.12","-26.0","-205","5.6","180-270 km"
"183.84","-19.89","-244","5.3","180-270 km"
"180.0","-23.43","-553","4.7","540-630 km"
"169.42","-18.89","-239","4.5","180-270 km"
"181.83","-17.82","-640","4.3","630-720 km"
"180.34","-25.68","-434","4.6","360-450 km"
"180.9","-20.2","-627","4.1","540-630 km"
"184.68","-15.2","-99","4.1","90-180 km"
"182.29","-15.03","-399","4.1","360-450 km"
"180.2","-32.22","-216","5.7","180-270 km"
"180.64","-22.64","-544","5.0","540-630 km"
"185.16","-17.42","-206","4.5","180-270 km"
"181.48","-17.84","-542","4.1","540-630 km"
"184.24","-15.02","-339","4.6","270-360 km"
"181.75","-18.04","-640","4.5","630-720 km"
"183.5","-24.6","-67","4.3","0-90 km"
"184.3","-19.88","-161","4.4","90-180 km"
"183.0","-20.3","-375","4.2","360-450 km"
"181.85","-20.45","-534","4.1","450-540 km"
"187.09","-17.67","-45","4.9","0-90 km"
"181.9","-22.3","-309","4.3","270-360 km"
"181.85","-19.85","-576","4.9","540-630 km"
"179.88","-24.27","-523","4.6","450-540 km"
"185.13","-15.85","-290","4.6","270-360 km"
"184.09","-20.02","-234","5.3","180-270 km"
"169.31","-18.56","-223","4.7","180-270 km"
"182.0","-17.87","-569","4.6","540-630 km"
"179.5","-24.08","-605","4.1","540-630 km"
"179.61","-32.2","-422","4.6","360-450 km"
"181.19","-20.36","-637","4.2","630-720 km"
"182.53","-23.85","-204","4.6","180-270 km"
"182.75","-24.0","-175","4.5","90-180 km"
"181.74","-20.41","-538","4.3","450-540 km"
"180.3","-17.72","-595","5.2","540-630 km"
"182.18","-19.67","-360","4.3","270-360 km"
"182.2","-17.7","-445","4.0","360-450 km"
"183.59","-16.23","-367","4.7","360-450 km"
"183.35","-26.72","-190","4.5","180-270 km"
"169.09","-12.95","-629","4.5","540-630 km"
"182.32","-21.97","-261","4.3","180-270 km"
"180.54","-21.96","-603","5.2","540-630 km"
"181.69","-20.32","-508","4.5","450-540 km"
"180.62","-30.28","-350","4.7","270-360 km"
"182.3","-20.2","-533","4.2","450-540 km"
"180.13","-30.66","-411","4.7","360-450 km"
"184.1","-16.17","-338","4.3","270-360 km"
"181.71","-28.25","-226","4.1","180-270 km"
"185.68","-20.47","-93","5.4","90-180 km"
"180.27","-23.55","-535","4.3","450-540 km"
"181.58","-20.94","-573","4.3","540-630 km"
"182.4","-26.67","-186","4.2","180-270 km"
"181.52","-18.13","-618","4.6","540-630 km"
"183.83","-20.21","-242","4.4","180-270 km"
"182.39","-18.31","-342","4.2","270-360 km"
"185.7","-16.52","-90","4.7","0-90 km"
"171.65","-22.36","-130","4.6","90-180 km"
"184.48","-22.43","-65","4.9","0-90 km"
"182.1","-20.37","-397","4.2","360-450 km"
"180.16","-23.77","-505","4.5","450-540 km"
"166.66","-13.65","-71","4.9","0-90 km"
"182.9","-21.55","-207","4.2","180-270 km"
"185.75","-16.24","-154","4.5","90-180 km"
"182.53","-23.73","-232","5.0","180-270 km"
"171.52","-22.34","-106","5.0","90-180 km"
"180.94","-19.4","-664","4.7","630-720 km"
"180.81","-24.64","-397","4.3","360-450 km"
"182.82","-16.0","-431","4.4","360-450 km"
"185.35","-19.62","-57","4.9","0-90 km"
"180.13","-23.84","-525","4.5","450-540 km"
"179.93","-23.54","-574","4.0","540-630 km"
"182.68","-28.23","-74","4.4","0-90 km"
"180.63","-21.68","-617","5.0","540-630 km"
"166.53","-13.44","-44","4.7","0-90 km"
"180.22","-24.96","-470","4.8","450-540 km"
"182.74","-20.08","-298","4.5","270-360 km"
"182.84","-24.36","-148","4.1","90-180 km"
"166.0","-14.7","-48","5.3","0-90 km"
"183.68","-18.2","-107","4.8","90-180 km"
"185.51","-16.65","-218","5.0","180-270 km"
"181.67","-18.11","-597","4.6","540-630 km"
"181.65","-17.95","-619","4.3","540-630 km"
"186.9","-15.5","-46","4.7","0-90 km"
"180.01","-23.36","-553","5.3","540-630 km"
"169.5","-19.15","-150","4.2","90-180 km"
"166.26","-10.97","-180","4.7","90-180 km"
"167.24","-14.85","-97","4.5","90-180 km"
"181.38","-17.8","-587","5.1","540-630 km"
"170.4","-22.5","-106","4.9","90-180 km"
"182.1","-29.1","-179","4.4","90-180 km"
"180.88","-20.32","-680","4.2","630-720 km"
"184.89","-16.09","-304","4.6","270-360 km"
"169.33","-19.18","-254","4.7","180-270 km"
"179.36","-23.81","-521","4.2","450-540 km"
"179.89","-23.79","-526","4.9","450-540 km"
"184.23","-19.02","-270","5.1","180-270 km"
"181.51","-20.9","-548","4.7","540-630 km"
"169.01","-19.06","-158","4.4","90-180 km"
"181.47","-17.88","-562","4.4","540-630 km"
"183.05","-19.41","-300","4.2","270-360 km"
"184.2","-26.17","-65","4.9","0-90 km"
"167.24","-14.95","-130","4.6","90-180 km"
"168.8","-18.73","-82","4.4","0-90 km"
"182.37","-20.21","-482","4.6","450-540 km"
"180.85","-21.29","-607","4.5","540-630 km"
"181.41","-19.76","-105","4.4","90-180 km"
"180.38","-22.09","-590","4.9","540-630 km"
"179.9","-23.8","-498","4.1","450-540 km"
"181.99","-20.16","-504","4.2","450-540 km"
"180.38","-22.13","-577","5.7","540-630 km"
"181.4","-17.44","-529","4.6","450-540 km"
"180.18","-23.33","-528","5.0","450-540 km"
"179.22","-24.78","-492","4.3","450-540 km"
"180.52","-22.0","-561","4.5","540-630 km"
"182.51","-19.13","-579","5.2","540-630 km"
"180.1","-30.72","-413","4.4","360-450 km"
"180.54","-22.32","-565","4.2","540-630 km"
"177.77","-16.45","-138","4.6","90-180 km"
"185.0","-17.7","-383","4.0","360-450 km"
"184.68","-17.95","-260","4.4","180-270 km"
"179.85","-24.4","-522","4.7","450-540 km"
"180.6","-19.3","-671","4.2","630-720 km"
"185.32","-21.13","-123","4.7","90-180 km"
"181.57","-18.07","-572","4.5","540-630 km"
"182.28","-20.6","-529","5.0","450-540 km"
"181.49","-18.48","-641","5.0","630-720 km"
"166.2","-13.34","-67","4.8","0-90 km"
"181.5","-20.92","-546","4.6","540-630 km"
"179.69","-25.31","-507","4.6","450-540 km"
"186.21","-15.24","-158","5.0","90-180 km"
"185.86","-16.4","-148","5.0","90-180 km"
"178.4","-24.57","-562","5.6","540-630 km"
"181.51","-17.94","-601","4.0","540-630 km"
"181.2","-30.64","-175","4.0","90-180 km"
"169.32","-18.64","-260","4.6","180-270 km"
"169.28","-13.09","-654","4.4","630-720 km"
"184.14","-19.68","-242","4.8","180-270 km"
"185.74","-16.44","-126","4.7","90-180 km"
"181.38","-21.09","-555","4.6","540-630 km"
"171.39","-14.99","-637","4.3","630-720 km"
"179.7","-23.3","-500","4.7","450-540 km"
"181.36","-17.68","-515","4.1","450-540 km"
"180.53","-22.0","-583","4.9","540-630 km"
"181.39","-21.38","-501","4.6","450-540 km"
"181.5","-32.62","-55","4.8","0-90 km"
"169.58","-13.05","-644","4.9","630-720 km"
"169.63","-12.93","-641","5.1","630-720 km"
"181.91","-18.6","-442","5.4","360-450 km"
"181.41","-21.34","-464","4.5","450-540 km"
"183.78","-21.48","-200","4.9","180-270 km"
"181.02","-17.4","-479","4.4","450-540 km"
"181.03","-17.32","-497","4.1","450-540 km"
"169.24","-18.77","-218","5.3","180-270 km"
"179.5","-26.16","-492","4.5","450-540 km"
"167.1","-12.59","-325","4.9","270-360 km"
"167.32","-14.82","-123","4.8","90-180 km"
"183.48","-21.79","-210","5.2","180-270 km"
"182.04","-19.83","-575","4.4","540-630 km"
"182.31","-29.5","-129","4.4","90-180 km"
"166.36","-12.49","-74","4.9","0-90 km"
"182.3","-26.1","-49","4.4","0-90 km"
"181.2","-21.04","-483","4.2","450-540 km"
"165.77","-10.78","-93","4.6","90-180 km"
"185.77","-20.76","-118","4.6","90-180 km"
"166.24","-11.41","-83","5.3","0-90 km"
"183.87","-19.1","-61","5.3","0-90 km"
"180.0","-23.91","-534","4.5","450-540 km"
"182.6","-27.33","-42","4.4","0-90 km"
"166.6","-12.25","-219","5.0","180-270 km"
"179.07","-23.49","-544","5.1","540-630 km"
"182.18","-27.18","-56","4.5","0-90 km"
"182.1","-25.8","-68","4.5","0-90 km"
"182.18","-27.19","-69","5.4","0-90 km"
"182.38","-27.27","-45","4.5","0-90 km"
"182.18","-27.1","-43","4.7","0-90 km"
"182.28","-27.22","-65","4.2","0-90 km"
"181.7","-27.38","-80","4.8","0-90 km"
"182.5","-27.27","-51","4.5","0-90 km"
"182.5","-27.54","-68","4.3","0-90 km"
"182.39","-27.2","-69","4.3","0-90 km"
"182.47","-27.71","-103","4.3","90-180 km"
"182.4","-27.6","-61","4.6","0-90 km"
"182.39","-27.38","-69","4.5","0-90 km"
"185.48","-21.54","-51","5.0","0-90 km"
"182.43","-27.21","-55","4.6","0-90 km"
"182.61","-28.96","-54","4.6","0-90 km"
"166.29","-12.01","-59","4.9","0-90 km"
"181.32","-17.46","-573","4.1","540-630 km"
"182.02","-30.17","-56","5.5","0-90 km"
"182.36","-27.27","-65","4.7","0-90 km"
"181.32","-17.79","-587","5.0","540-630 km"
"171.4","-22.19","-150","5.1","90-180 km"
"182.68","-17.1","-403","5.5","360-450 km"
"182.53","-27.18","-60","4.6","0-90 km"
"166.47","-11.64","-130","4.7","90-180 km"
"181.58","-17.98","-590","4.2","540-630 km"
"185.72","-16.9","-135","4.0","90-180 km"
"179.6","-21.98","-583","5.4","540-630 km"
"179.9","-32.14","-406","4.3","360-450 km"
"169.21","-18.8","-221","4.4","180-270 km"
"183.61","-26.78","-40","4.6","0-90 km"
"182.37","-20.43","-502","5.1","450-540 km"
"183.2","-18.3","-103","4.5","90-180 km"
"182.51","-15.83","-423","4.2","360-450 km"
"182.93","-23.44","-158","4.1","90-180 km"
"179.99","-23.73","-527","5.1","450-540 km"
"184.08","-19.89","-219","5.4","180-270 km"
"181.09","-17.59","-536","5.1","450-540 km"
"181.4","-19.77","-630","5.1","540-630 km"
"184.06","-20.31","-249","4.4","180-270 km"
"186.75","-15.33","-48","5.7","0-90 km"
"181.6","-18.2","-553","4.4","540-630 km"
"186.66","-15.36","-112","5.1","90-180 km"
"186.42","-15.29","-153","4.6","90-180 km"
"186.71","-15.36","-130","5.5","90-180 km"
"167.95","-16.24","-188","5.1","180-270 km"
"167.14","-13.47","-226","4.4","180-270 km"
"182.82","-25.5","-124","5.0","90-180 km"
"167.33","-14.32","-204","5.0","180-270 km"
"182.01","-20.04","-605","5.1","540-630 km"
"181.66","-28.83","-221","5.1","180-270 km"
"181.49","-17.82","-573","4.2","540-630 km"
"180.98","-27.23","-401","4.5","360-450 km"
"165.99","-10.72","-195","4.0","180-270 km"
"183.88","-27.0","-56","4.9","0-90 km"
"186.16","-20.36","-102","4.3","90-180 km"
"183.68","-27.17","-44","4.8","0-90 km"
"181.26","-20.94","-556","4.4","540-630 km"
"181.9","-17.46","-417","4.2","360-450 km"
"181.2","-21.04","-591","4.9","540-630 km"
"179.6","-23.7","-646","4.2","630-720 km"
"181.42","-17.72","-565","5.3","540-630 km"
"188.13","-15.87","-52","5.0","0-90 km"
"181.3","-17.84","-535","5.7","450-540 km"
"170.3","-13.45","-641","5.3","630-720 km"
"182.16","-30.8","-41","4.7","0-90 km"
"166.14","-11.63","-109","4.6","90-180 km"
"181.4","-30.4","-40","4.3","0-90 km"
"178.59","-26.18","-548","5.4","540-630 km"
"184.5","-15.7","-118","4.4","90-180 km"
"181.5","-17.95","-593","4.3","540-630 km"
"182.3","-20.51","-492","4.3","450-540 km"
"167.51","-15.36","-123","4.7","90-180 km"
"180.23","-23.61","-475","4.4","450-540 km"
"181.6","-33.2","-153","4.2","90-180 km"
"186.8","-17.68","-112","4.5","90-180 km"
"184.56","-22.24","-99","4.8","90-180 km"
"169.14","-20.07","-66","4.8","0-90 km"
"180.1","-25.04","-481","4.3","450-540 km"
"185.2","-21.5","-139","4.4","90-180 km"
"167.26","-14.28","-211","5.1","180-270 km"
"167.26","-14.43","-151","4.4","90-180 km"
"181.7","-32.7","-211","4.4","180-270 km"
"181.8","-34.1","-246","4.3","180-270 km"
"186.2","-19.7","-47","4.8","0-90 km"
"180.38","-24.19","-484","4.3","450-540 km"
"182.77","-26.6","-119","4.5","90-180 km"
"186.8","-17.04","-70","4.1","0-90 km"
"179.71","-22.1","-579","5.1","540-630 km"
"180.9","-32.6","-57","4.7","0-90 km"
"182.4","-33.0","-176","4.6","90-180 km"
"181.24","-20.58","-602","4.7","540-630 km"
"182.6","-20.61","-488","4.6","450-540 km"
"169.15","-19.47","-149","4.4","90-180 km"
"180.96","-17.47","-546","4.2","540-630 km"
"183.4","-18.4","-343","4.1","270-360 km"
"180.26","-23.33","-530","4.7","450-540 km"
"182.23","-18.55","-563","4.0","540-630 km"
"178.47","-26.16","-537","4.8","450-540 km"
"183.2","-21.8","-325","4.4","270-360 km"
"182.93","-27.63","-80","4.3","0-90 km"
"169.48","-18.89","-259","4.4","180-270 km"
"182.3","-20.3","-476","4.5","450-540 km"
"182.04","-20.56","-499","4.5","450-540 km"
"185.32","-16.1","-257","4.7","180-270 km"
"166.37","-12.66","-165","4.3","90-180 km"
"184.68","-21.05","-136","4.7","90-180 km"
"168.52","-17.97","-146","4.8","90-180 km"
"182.54","-19.83","-524","4.6","450-540 km"
"183.81","-22.55","-82","5.1","0-90 km"
"183.52","-22.28","-90","4.7","0-90 km"
"185.64","-15.72","-138","4.3","90-180 km"
"181.59","-20.85","-499","5.1","450-540 km"
"181.5","-21.11","-538","5.5","450-540 km"
"180.15","-25.31","-467","4.5","450-540 km"
"182.5","-26.46","-184","4.3","180-270 km"
"179.68","-24.09","-538","4.3","450-540 km"
"167.7","-16.96","-45","4.7","0-90 km"
"182.8","-23.19","-237","4.3","180-270 km"
"184.7","-20.81","-162","4.3","90-180 km"
"167.32","-15.03","-136","4.6","90-180 km"
"181.59","-18.06","-604","4.5","540-630 km"
"185.6","-19.0","-107","4.5","90-180 km"
"179.99","-23.53","-538","5.4","450-540 km"
"180.63","-18.18","-639","4.6","630-720 km"
"186.8","-15.66","-45","4.4","0-90 km"
"180.62","-18.0","-636","5.0","630-720 km"
"180.7","-18.08","-628","5.2","540-630 km"
"180.86","-18.05","-632","4.4","630-720 km"
"181.16","-29.9","-215","5.1","180-270 km"
"181.9","-20.9","-556","4.4","540-630 km"
"167.5","-15.61","-135","4.4","90-180 km"
"185.43","-16.03","-297","4.8","270-360 km"
"181.11","-17.68","-568","4.4","540-630 km"
"180.57","-31.94","-168","4.7","90-180 km"
"184.36","-19.14","-269","4.7","180-270 km"
"185.48","-18.0","-143","4.4","90-180 km"
"185.94","-16.95","-95","4.3","90-180 km"
"166.06","-10.79","-142","5.0","90-180 km"
"185.9","-20.83","-104","4.5","90-180 km"
"181.6","-32.9","-169","4.6","90-180 km"
"177.47","-37.93","-65","5.4","0-90 km"
"183.2","-29.09","-54","4.6","0-90 km"
"180.23","-23.56","-474","4.5","450-540 km"
"185.2","-19.6","-125","4.4","90-180 km"
"180.68","-21.39","-617","4.5","540-630 km"
"184.87","-14.85","-294","4.1","270-360 km"
"183.3","-22.7","-180","4.0","90-180 km"
"181.21","-32.42","-47","4.9","0-90 km"
"181.3","-17.9","-593","4.1","540-630 km"
"183.4","-23.58","-94","5.2","90-180 km"
"180.5","-34.4","-201","4.4","180-270 km"
"181.2","-17.61","-537","4.1","450-540 km"
"181.13","-21.07","-594","4.9","540-630 km"
"170.62","-13.84","-638","4.6","630-720 km"
"181.63","-30.24","-80","4.5","0-90 km"
"169.04","-18.49","-211","4.8","180-270 km"
"180.23","-23.45","-520","4.2","450-540 km"
"183.54","-16.04","-384","4.2","360-450 km"
"185.31","-17.14","-223","4.1","180-270 km"
"172.91","-22.54","-54","5.5","0-90 km"
"185.3","-15.9","-57","4.4","0-90 km"
"181.2","-30.04","-49","4.8","0-90 km"
"180.22","-24.03","-508","4.2","450-540 km"
"184.46","-18.89","-242","4.8","180-270 km"
"187.1","-16.51","-62","4.9","0-90 km"
"186.3","-20.1","-63","4.6","0-90 km"
"183.81","-21.06","-203","4.5","180-270 km"
"166.87","-13.07","-132","4.4","90-180 km"
"180.09","-23.46","-543","4.6","540-630 km"
"182.3","-19.41","-589","4.2","540-630 km"
"165.98","-11.81","-51","4.7","0-90 km"
"165.96","-11.76","-45","4.4","0-90 km"
"165.76","-12.08","-63","4.5","0-90 km"
"180.02","-25.59","-485","4.9","450-540 km"
"183.63","-26.54","-66","4.7","0-90 km"
"184.28","-20.9","-58","5.5","0-90 km"
"187.0","-16.99","-70","4.7","0-90 km"
"180.17","-23.46","-541","4.6","540-630 km"
"181.82","-17.81","-598","4.1","540-630 km"
"187.2","-15.17","-50","4.7","0-90 km"
"166.02","-11.67","-102","4.6","90-180 km"
"184.52","-20.75","-144","4.3","90-180 km"
"186.9","-19.5","-58","4.4","0-90 km"
"179.79","-26.18","-460","4.7","450-540 km"
"185.77","-20.66","-69","4.3","0-90 km"
"182.54","-19.22","-570","4.1","540-630 km"
"183.33","-24.68","-70","4.7","0-90 km"
"167.38","-15.43","-137","4.5","90-180 km"
"181.15","-32.45","-41","5.5","0-90 km"
"180.84","-21.31","-586","4.5","540-630 km"
"167.18","-15.44","-140","4.6","90-180 km"
"167.01","-13.26","-213","5.1","180-270 km"
"183.13","-15.26","-393","4.4","360-450 km"
"180.8","-33.57","-51","4.7","0-90 km"
"167.01","-15.77","-64","5.5","0-90 km"
"166.83","-15.79","-45","4.6","0-90 km"
"183.2","-21.0","-296","4.0","270-360 km"
"166.94","-16.28","-50","4.6","0-90 km"
"184.6","-23.28","-44","4.8","0-90 km"
"167.25","-16.1","-68","4.7","0-90 km"
"181.31","-17.7","-549","4.7","540-630 km"
"166.69","-15.96","-150","4.2","90-180 km"
"167.34","-15.95","-47","5.4","0-90 km"
"181.59","-17.56","-543","4.6","540-630 km"
"167.42","-15.9","-40","5.5","0-90 km"
"166.9","-15.29","-100","4.2","90-180 km"
"166.85","-15.86","-85","4.5","0-90 km"
"166.8","-16.2","-98","4.5","90-180 km"
"166.91","-15.71","-58","4.8","0-90 km"
"167.54","-16.45","-125","4.6","90-180 km"
"166.18","-11.54","-89","5.4","0-90 km"
"181.91","-19.61","-590","4.6","540-630 km"
"187.15","-15.61","-49","5.0","0-90 km"
"181.41","-21.16","-543","4.3","540-630 km"
"182.22","-20.65","-506","4.3","450-540 km"
"168.71","-20.33","-40","4.8","0-90 km"
"166.62","-15.08","-42","4.7","0-90 km"
"184.61","-23.28","-76","4.7","0-90 km"
"184.6","-23.44","-63","4.8","0-90 km"
"184.42","-23.12","-104","4.2","90-180 km"
"184.46","-23.65","-93","4.2","90-180 km"
"183.95","-22.91","-64","5.9","0-90 km"
"180.47","-22.06","-587","4.6","540-630 km"
"166.49","-13.56","-83","4.5","0-90 km"
"181.57","-17.99","-579","4.9","540-630 km"
"184.47","-23.92","-40","4.7","0-90 km"
"182.1","-30.69","-62","4.9","0-90 km"
"182.8","-21.92","-273","5.3","270-360 km"
"180.97","-25.04","-393","4.2","360-450 km"
"183.91","-19.92","-264","4.2","180-270 km"
"182.26","-27.75","-174","4.5","90-180 km"
"181.18","-17.71","-574","5.2","540-630 km"
"183.84","-19.6","-309","4.5","270-360 km"
"179.82","-34.68","-75","5.6","0-90 km"
"167.26","-14.46","-195","5.2","180-270 km"
"187.55","-18.85","-44","4.8","0-90 km"
"182.41","-17.02","-420","4.5","360-450 km"
"186.51","-20.41","-63","5.0","0-90 km"
"182.04","-18.18","-609","4.4","540-630 km"
"187.8","-16.49","-40","4.5","0-90 km"
"181.31","-17.74","-575","4.6","540-630 km"
"181.69","-20.49","-559","4.5","540-630 km"
"182.64","-18.51","-405","5.2","360-450 km"
"183.4","-27.28","-70","5.1","0-90 km"
"167.16","-15.9","-41","4.8","0-90 km"
