"east","north","elevation"
"200.0","460.0","148.0"
"200.0","480.0","149.0"
"200.0","500.0","150.0"
"200.0","520.0","152.0"
"200.0","540.0","152.0"
"200.0","560.0","150.0"
"200.0","580.0","150.0"
"200.0","600.0","150.0"
"200.0","620.0","150.0"
"200.0","640.0","150.0"
"200.0","660.0","150.0"
"200.0","680.0","149.0"
"200.0","700.0","144.0"
"200.0","720.0","138.0"
"200.0","740.0","125.0"
"200.0","760.0","111.0"
"200.0","780.0","105.0"
"200.0","800.0","102.0"
"200.0","820.0","101.0"
"200.0","840.0","100.0"
"200.0","860.0","100.0"
"200.0","880.0","100.0"
"220.0","20.0","101.0"
"220.0","40.0","104.0"
"220.0","60.0","109.0"
"220.0","80.0","118.0"
"220.0","100.0","127.0"
"220.0","120.0","141.0"
"220.0","140.0","155.0"
"220.0","160.0","165.0"
"220.0","180.0","170.0"
"220.0","200.0","175.0"
"220.0","220.0","177.0"
"220.0","240.0","181.0"
"220.0","260.0","181.0"
"220.0","280.0","180.0"
"220.0","300.0","177.0"
"220.0","320.0","171.0"
"220.0","340.0","165.0"
"220.0","360.0","161.0"
"220.0","380.0","160.0"
"220.0","400.0","160.0"
"220.0","420.0","157.0"
"220.0","440.0","155.0"
"220.0","460.0","154.0"
"220.0","480.0","157.0"
"220.0","500.0","161.0"
"220.0","520.0","161.0"
"220.0","540.0","156.0"
"220.0","560.0","154.0"
"220.0","580.0","151.0"
"220.0","600.0","150.0"
"220.0","620.0","150.0"
"220.0","640.0","150.0"
"220.0","660.0","150.0"
"220.0","680.0","149.0"
"220.0","700.0","144.0"
"220.0","720.0","137.0"
"220.0","740.0","129.0"
"220.0","760.0","116.0"
"220.0","780.0","107.0"
"220.0","800.0","102.0"
"220.0","820.0","101.0"
"220.0","840.0","101.0"
"220.0","860.0","100.0"
"220.0","880.0","100.0"
"240.0","20.0","102.0"
"240.0","40.0","106.0"
"240.0","60.0","112.0"
"240.0","80.0","121.0"
"240.0","100.0","130.0"
"240.0","120.0","145.0"
"240.0","140.0","157.0"
"240.0","160.0","170.0"
"240.0","180.0","178.0"
"240.0","200.0","181.0"
"240.0","220.0","186.0"
"240.0","240.0","187.0"
"240.0","260.0","184.0"
"240.0","280.0","180.0"
"240.0","300.0","180.0"
"240.0","320.0","178.0"
"240.0","340.0","173.0"
"240.0","360.0","171.0"
"240.0","380.0","170.0"
"240.0","400.0","168.0"
"240.0","420.0","166.0"
"240.0","440.0","163.0"
"240.0","460.0","161.0"
"240.0","480.0","167.0"
"240.0","500.0","170.0"
"240.0","520.0","164.0"
"240.0","540.0","158.0"
"240.0","560.0","155.0"
"240.0","580.0","151.0"
"240.0","600.0","150.0"
"240.0","620.0","150.0"
"240.0","640.0","150.0"
"240.0","660.0","150.0"
"240.0","680.0","147.0"
"240.0","700.0","141.0"
"240.0","720.0","135.0"
"240.0","740.0","128.0"
"240.0","760.0","122.0"
"240.0","780.0","109.0"
"240.0","800.0","104.0"
"240.0","820.0","103.0"
"240.0","840.0","101.0"
"240.0","860.0","101.0"
"240.0","880.0","101.0"
"260.0","20.0","104.0"
"260.0","40.0","108.0"
"260.0","60.0","115.0"
"260.0","80.0","123.0"
"260.0","100.0","134.0"
"260.0","120.0","148.0"
"260.0","140.0","161.0"
"260.0","160.0","172.0"
"260.0","180.0","182.0"
"260.0","200.0","186.0"
"260.0","220.0","190.0"
"260.0","240.0","190.0"
"260.0","260.0","185.0"
"260.0","280.0","180.0"
"260.0","300.0","180.0"
"260.0","320.0","179.0"
"260.0","340.0","176.0"
"260.0","360.0","178.0"
"260.0","380.0","178.0"
"260.0","400.0","176.0"
"260.0","420.0","171.0"
"260.0","440.0","166.0"
"260.0","460.0","166.0"
"260.0","480.0","170.0"
"260.0","500.0","170.0"
"260.0","520.0","168.0"
"260.0","540.0","159.0"
"260.0","560.0","155.0"
"260.0","580.0","151.0"
"260.0","600.0","150.0"
"260.0","620.0","150.0"
"260.0","640.0","150.0"
"260.0","660.0","150.0"
"260.0","680.0","144.0"
"260.0","700.0","137.0"
"260.0","720.0","132.0"
"260.0","740.0","127.0"
"260.0","760.0","122.0"
"260.0","780.0","111.0"
"260.0","800.0","107.0"
"260.0","820.0","106.0"
"260.0","840.0","104.0"
"260.0","860.0","102.0"
"260.0","880.0","100.0"
"280.0","20.0","105.0"
"280.0","40.0","111.0"
"280.0","60.0","121.0"
"280.0","80.0","127.0"
"280.0","100.0","137.0"
"280.0","120.0","154.0"
"280.0","140.0","164.0"
"280.0","160.0","174.0"
"280.0","180.0","184.0"
"280.0","200.0","190.0"
"280.0","220.0","191.0"
"280.0","240.0","187.0"
"280.0","260.0","180.0"
"280.0","280.0","175.0"
"280.0","300.0","172.0"
"280.0","320.0","173.0"
"280.0","340.0","173.0"
"280.0","360.0","178.0"
"280.0","380.0","180.0"
"280.0","400.0","180.0"
"280.0","420.0","175.0"
"280.0","440.0","168.0"
"280.0","460.0","168.0"
"280.0","480.0","170.0"
"280.0","500.0","170.0"
"280.0","520.0","166.0"
"280.0","540.0","158.0"
"280.0","560.0","154.0"
"280.0","580.0","151.0"
"280.0","600.0","150.0"
"280.0","620.0","150.0"
"280.0","640.0","147.0"
"280.0","660.0","145.0"
"280.0","680.0","139.0"
"280.0","700.0","133.0"
"280.0","720.0","129.0"
"280.0","740.0","124.0"
"280.0","760.0","120.0"
"280.0","780.0","114.0"
"280.0","800.0","111.0"
"280.0","820.0","110.0"
"280.0","840.0","109.0"
"280.0","860.0","106.0"
"280.0","880.0","100.0"
"300.0","20.0","107.0"
"300.0","40.0","114.0"
"300.0","60.0","121.0"
"300.0","80.0","130.0"
"300.0","100.0","142.0"
"300.0","120.0","159.0"
"300.0","140.0","167.0"
"300.0","160.0","177.0"
"300.0","180.0","185.0"
"300.0","200.0","192.0"
"300.0","220.0","191.0"
"300.0","240.0","183.0"
"300.0","260.0","174.0"
"300.0","280.0","167.0"
"300.0","300.0","164.0"
"300.0","320.0","165.0"
"300.0","340.0","169.0"
"300.0","360.0","174.0"
"300.0","380.0","179.0"
"300.0","400.0","180.0"
"300.0","420.0","173.0"
"300.0","440.0","166.0"
"300.0","460.0","165.0"
"300.0","480.0","165.0"
"300.0","500.0","169.0"
"300.0","520.0","163.0"
"300.0","540.0","157.0"
"300.0","560.0","152.0"
"300.0","580.0","148.0"
"300.0","600.0","146.0"
"300.0","620.0","143.0"
"300.0","640.0","141.0"
"300.0","660.0","139.0"
"300.0","680.0","133.0"
"300.0","700.0","128.0"
"300.0","720.0","125.0"
"300.0","740.0","122.0"
"300.0","760.0","118.0"
"300.0","780.0","115.0"
"300.0","800.0","111.0"
"300.0","820.0","111.0"
"300.0","840.0","110.0"
"300.0","860.0","108.0"
"300.0","880.0","100.0"
"320.0","20.0","108.0"
"320.0","40.0","114.0"
"320.0","60.0","128.0"
"320.0","80.0","140.0"
"320.0","100.0","152.0"
"320.0","120.0","162.0"
"320.0","140.0","169.0"
"320.0","160.0","180.0"
"320.0","180.0","186.0"
"320.0","200.0","193.0"
"320.0","220.0","190.0"
"320.0","240.0","176.0"
"320.0","260.0","167.0"
"320.0","280.0","160.0"
"320.0","300.0","157.0"
"320.0","320.0","157.0"
"320.0","340.0","163.0"
"320.0","360.0","170.0"
"320.0","380.0","176.0"
"320.0","400.0","178.0"
"320.0","420.0","172.0"
"320.0","440.0","164.0"
"320.0","460.0","161.0"
"320.0","480.0","161.0"
"320.0","500.0","163.0"
"320.0","520.0","160.0"
"320.0","540.0","153.0"
"320.0","560.0","148.0"
"320.0","580.0","144.0"
"320.0","600.0","141.0"
"320.0","620.0","139.0"
"320.0","640.0","136.0"
"320.0","660.0","134.0"
"320.0","680.0","129.0"
"320.0","700.0","126.0"
"320.0","720.0","122.0"
"320.0","740.0","119.0"
"320.0","760.0","117.0"
"320.0","780.0","114.0"
"320.0","800.0","112.0"
"320.0","820.0","110.0"
"320.0","840.0","109.0"
"320.0","860.0","107.0"
"320.0","880.0","100.0"
"340.0","20.0","110.0"
"340.0","40.0","116.0"
"340.0","60.0","129.0"
"340.0","80.0","142.0"
"340.0","100.0","151.0"
"340.0","120.0","164.0"
"340.0","140.0","172.0"
"340.0","160.0","183.0"
"340.0","180.0","189.0"
"340.0","200.0","192.0"
"340.0","220.0","188.0"
"340.0","240.0","174.0"
"340.0","260.0","164.0"
"340.0","280.0","157.0"
"340.0","300.0","151.0"
"340.0","320.0","151.0"
"340.0","340.0","158.0"
"340.0","360.0","167.0"
"340.0","380.0","170.0"
"340.0","400.0","170.0"
"340.0","420.0","168.0"
"340.0","440.0","160.0"
"340.0","460.0","156.0"
"340.0","480.0","157.0"
"340.0","500.0","159.0"
"340.0","520.0","156.0"
"340.0","540.0","150.0"
"340.0","560.0","146.0"
"340.0","580.0","141.0"
"340.0","600.0","140.0"
"340.0","620.0","136.0"
"340.0","640.0","134.0"
"340.0","660.0","131.0"
"340.0","680.0","127.0"
"340.0","700.0","123.0"
"340.0","720.0","120.0"
"340.0","740.0","117.0"
"340.0","760.0","115.0"
"340.0","780.0","112.0"
"340.0","800.0","110.0"
"340.0","820.0","107.0"
"340.0","840.0","105.0"
"340.0","860.0","102.0"
"340.0","880.0","100.0"
"360.0","20.0","110.0"
"360.0","40.0","119.0"
"360.0","60.0","131.0"
"360.0","80.0","141.0"
"360.0","100.0","150.0"
"360.0","120.0","164.0"
"360.0","140.0","172.0"
"360.0","160.0","183.0"
"360.0","180.0","189.0"
"360.0","200.0","192.0"
"360.0","220.0","190.0"
"360.0","240.0","174.0"
"360.0","260.0","164.0"
"360.0","280.0","157.0"
"360.0","300.0","150.0"
"360.0","320.0","150.0"
"360.0","340.0","158.0"
"360.0","360.0","166.0"
"360.0","380.0","170.0"
"360.0","400.0","166.0"
"360.0","420.0","162.0"
"360.0","440.0","158.0"
"360.0","460.0","152.0"
"360.0","480.0","151.0"
"360.0","500.0","151.0"
"360.0","520.0","149.0"
"360.0","540.0","147.0"
"360.0","560.0","145.0"
"360.0","580.0","142.0"
"360.0","600.0","139.0"
"360.0","620.0","135.0"
"360.0","640.0","132.0"
"360.0","660.0","129.0"
"360.0","680.0","125.0"
"360.0","700.0","121.0"
"360.0","720.0","117.0"
"360.0","740.0","114.0"
"360.0","760.0","113.0"
"360.0","780.0","110.0"
"360.0","800.0","107.0"
"360.0","820.0","103.0"
"360.0","840.0","100.0"
"360.0","860.0","100.0"
"360.0","880.0","99.0"
"380.0","20.0","110.0"
"380.0","40.0","121.0"
"380.0","60.0","132.0"
"380.0","80.0","140.0"
"380.0","100.0","148.0"
"380.0","120.0","160.0"
"380.0","140.0","171.0"
"380.0","160.0","180.0"
"380.0","180.0","189.0"
"380.0","200.0","191.0"
"380.0","220.0","191.0"
"380.0","240.0","176.0"
"380.0","260.0","166.0"
"380.0","280.0","159.0"
"380.0","300.0","154.0"
"380.0","320.0","155.0"
"380.0","340.0","161.0"
"380.0","360.0","170.0"
"380.0","380.0","166.0"
"380.0","400.0","163.0"
"380.0","420.0","158.0"
"380.0","440.0","152.0"
"380.0","460.0","146.0"
"380.0","480.0","145.0"
"380.0","500.0","146.0"
"380.0","520.0","144.0"
"380.0","540.0","145.0"
"380.0","560.0","142.0"
"380.0","580.0","140.0"
"380.0","600.0","140.0"
"380.0","620.0","138.0"
"380.0","640.0","134.0"
"380.0","660.0","128.0"
"380.0","680.0","123.0"
"380.0","700.0","119.0"
"380.0","720.0","115.0"
"380.0","740.0","112.0"
"380.0","760.0","111.0"
"380.0","780.0","108.0"
"380.0","800.0","105.0"
"380.0","820.0","100.0"
"380.0","840.0","99.0"
"380.0","860.0","99.0"
"380.0","880.0","98.0"
"400.0","20.0","110.0"
"400.0","40.0","120.0"
"400.0","60.0","131.0"
"400.0","80.0","140.0"
"400.0","100.0","146.0"
"400.0","120.0","154.0"
"400.0","140.0","166.0"
"400.0","160.0","177.0"
"400.0","180.0","182.0"
"400.0","200.0","190.0"
"400.0","220.0","190.0"
"400.0","240.0","179.0"
"400.0","260.0","171.0"
"400.0","280.0","166.0"
"400.0","300.0","164.0"
"400.0","320.0","166.0"
"400.0","340.0","170.0"
"400.0","360.0","168.0"
"400.0","380.0","162.0"
"400.0","400.0","158.0"
"400.0","420.0","153.0"
"400.0","440.0","147.0"
"400.0","460.0","139.0"
"400.0","480.0","139.0"
"400.0","500.0","140.0"
"400.0","520.0","141.0"
"400.0","540.0","142.0"
"400.0","560.0","140.0"
"400.0","580.0","140.0"
"400.0","600.0","140.0"
"400.0","620.0","140.0"
"400.0","640.0","134.0"
"400.0","660.0","128.0"
"400.0","680.0","122.0"
"400.0","700.0","116.0"
"400.0","720.0","112.0"
"400.0","740.0","109.0"
"400.0","760.0","108.0"
"400.0","780.0","105.0"
"400.0","800.0","100.0"
"400.0","820.0","99.0"
"400.0","840.0","99.0"
"400.0","860.0","98.0"
"400.0","880.0","97.0"
"420.0","20.0","108.0"
"420.0","40.0","116.0"
"420.0","60.0","128.0"
"420.0","80.0","137.0"
"420.0","100.0","143.0"
"420.0","120.0","149.0"
"420.0","140.0","161.0"
"420.0","160.0","168.0"
"420.0","180.0","175.0"
"420.0","200.0","184.0"
"420.0","220.0","189.0"
"420.0","240.0","182.0"
"420.0","260.0","176.0"
"420.0","280.0","175.0"
"420.0","300.0","174.0"
"420.0","320.0","175.0"
"420.0","340.0","173.0"
"420.0","360.0","168.0"
"420.0","380.0","157.0"
"420.0","400.0","150.0"
"420.0","420.0","145.0"
"420.0","440.0","141.0"
"420.0","460.0","135.0"
"420.0","480.0","134.0"
"420.0","500.0","135.0"
"420.0","520.0","136.0"
"420.0","540.0","138.0"
"420.0","560.0","140.0"
"420.0","580.0","140.0"
"420.0","600.0","140.0"
"420.0","620.0","140.0"
"420.0","640.0","135.0"
"420.0","660.0","126.0"
"420.0","680.0","120.0"
"420.0","700.0","114.0"
"420.0","720.0","109.0"
"420.0","740.0","107.0"
"420.0","760.0","105.0"
"420.0","780.0","100.0"
"420.0","800.0","99.0"
"420.0","820.0","98.0"
"420.0","840.0","98.0"
"420.0","860.0","97.0"
"420.0","880.0","96.0"
"440.0","20.0","108.0"
"440.0","40.0","112.0"
"440.0","60.0","122.0"
"440.0","80.0","129.0"
"440.0","100.0","139.0"
"440.0","120.0","144.0"
"440.0","140.0","153.0"
"440.0","160.0","160.0"
"440.0","180.0","168.0"
"440.0","200.0","177.0"
"440.0","220.0","184.0"
"440.0","240.0","182.0"
"440.0","260.0","180.0"
"440.0","280.0","178.0"
"440.0","300.0","180.0"
"440.0","320.0","179.0"
"440.0","340.0","176.0"
"440.0","360.0","168.0"
"440.0","380.0","157.0"
"440.0","400.0","148.0"
"440.0","420.0","139.0"
"440.0","440.0","135.0"
"440.0","460.0","131.0"
"440.0","480.0","130.0"
"440.0","500.0","132.0"
"440.0","520.0","132.0"
"440.0","540.0","132.0"
"440.0","560.0","133.0"
"440.0","580.0","136.0"
"440.0","600.0","137.0"
"440.0","620.0","136.0"
"440.0","640.0","131.0"
"440.0","660.0","121.0"
"440.0","680.0","116.0"
"440.0","700.0","111.0"
"440.0","720.0","107.0"
"440.0","740.0","105.0"
"440.0","760.0","100.0"
"440.0","780.0","97.0"
"440.0","800.0","97.0"
"440.0","820.0","97.0"
"440.0","840.0","97.0"
"440.0","860.0","96.0"
"440.0","880.0","96.0"
"460.0","20.0","107.0"
"460.0","40.0","110.0"
"460.0","60.0","115.0"
"460.0","80.0","121.0"
"460.0","100.0","131.0"
"460.0","120.0","137.0"
"460.0","140.0","143.0"
"460.0","160.0","152.0"
"460.0","180.0","162.0"
"460.0","200.0","169.0"
"460.0","220.0","177.0"
"460.0","240.0","181.0"
"460.0","260.0","180.0"
"460.0","280.0","181.0"
"460.0","300.0","180.0"
"460.0","320.0","180.0"
"460.0","340.0","176.0"
"460.0","360.0","167.0"
"460.0","380.0","158.0"
"460.0","400.0","145.0"
"460.0","420.0","137.0"
"460.0","440.0","132.0"
"460.0","460.0","129.0"
"460.0","480.0","127.0"
"460.0","500.0","127.0"
"460.0","520.0","128.0"
"460.0","540.0","125.0"
"460.0","560.0","125.0"
"460.0","580.0","126.0"
"460.0","600.0","129.0"
