"across","along","height","tank","instant"
"280.0","280.0","-1.882","Shallow","1"
"300.0","280.0","-1.581","Shallow","1"
"20.0","300.0","1.178","Shallow","1"
"40.0","300.0","1.317","Shallow","1"
"60.0","300.0","1.573","Shallow","1"
"80.0","300.0","1.898","Shallow","1"
"100.0","300.0","2.216","Shallow","1"
"120.0","300.0","2.418","Shallow","1"
"140.0","300.0","2.387","Shallow","1"
"160.0","300.0","2.025","Shallow","1"
"180.0","300.0","1.307","Shallow","1"
"200.0","300.0","0.319","Shallow","1"
"220.0","300.0","-0.732","Shallow","1"
"240.0","300.0","-1.557","Shallow","1"
"260.0","300.0","-1.885","Shallow","1"
"280.0","300.0","-1.581","Shallow","1"
"300.0","300.0","-0.738","Shallow","1"
"20.0","20.0","0.663","Shallow","2"
"40.0","20.0","4.615","Shallow","2"
"60.0","20.0","5.669","Shallow","2"
"80.0","20.0","2.638","Shallow","2"
"100.0","20.0","-2.078","Shallow","2"
"120.0","20.0","-4.886","Shallow","2"
"140.0","20.0","-3.914","Shallow","2"
"160.0","20.0","-0.269","Shallow","2"
"180.0","20.0","3.115","Shallow","2"
"200.0","20.0","3.857","Shallow","2"
"220.0","20.0","1.78","Shallow","2"
"240.0","20.0","-1.259","Shallow","2"
"260.0","20.0","-2.985","Shallow","2"
"280.0","20.0","-2.37","Shallow","2"
"300.0","20.0","-0.179","Shallow","2"
"20.0","40.0","4.615","Shallow","2"
"40.0","40.0","5.739","Shallow","2"
"60.0","40.0","4.95","Shallow","2"
"80.0","40.0","1.352","Shallow","2"
"100.0","40.0","-2.957","Shallow","2"
"120.0","40.0","-4.997","Shallow","2"
"140.0","40.0","-3.469","Shallow","2"
"160.0","40.0","0.261","Shallow","2"
"180.0","40.0","3.365","Shallow","2"
"200.0","40.0","3.752","Shallow","2"
"220.0","40.0","1.495","Shallow","2"
"240.0","40.0","-1.488","Shallow","2"
"260.0","40.0","-3.022","Shallow","2"
"280.0","40.0","-2.243","Shallow","2"
"300.0","40.0","-0.014","Shallow","2"
"20.0","60.0","5.669","Shallow","2"
"40.0","60.0","4.95","Shallow","2"
"60.0","60.0","2.638","Shallow","2"
"80.0","60.0","-1.051","Shallow","2"
"100.0","60.0","-4.235","Shallow","2"
"120.0","60.0","-4.848","Shallow","2"
"140.0","60.0","-2.46","Shallow","2"
"160.0","60.0","1.25","Shallow","2"
"180.0","60.0","3.733","Shallow","2"
"200.0","60.0","3.456","Shallow","2"
"220.0","60.0","0.914","Shallow","2"
"240.0","60.0","-1.903","Shallow","2"
"260.0","60.0","-3.05","Shallow","2"
"280.0","60.0","-1.967","Shallow","2"
"300.0","60.0","0.308","Shallow","2"
"20.0","80.0","2.638","Shallow","2"
"40.0","80.0","1.352","Shallow","2"
"60.0","80.0","-1.051","Shallow","2"
"80.0","80.0","-3.677","Shallow","2"
"100.0","80.0","-4.997","Shallow","2"
"120.0","80.0","-3.914","Shallow","2"
"140.0","80.0","-0.814","Shallow","2"
"160.0","80.0","2.488","Shallow","2"
"180.0","80.0","3.968","Shallow","2"
"200.0","80.0","2.833","Shallow","2"
"220.0","80.0","0.048","Shallow","2"
"240.0","80.0","-2.412","Shallow","2"
"260.0","80.0","-2.978","Shallow","2"
"280.0","80.0","-1.509","Shallow","2"
"300.0","80.0","0.763","Shallow","2"
"20.0","100.0","-2.078","Shallow","2"
"40.0","100.0","-2.957","Shallow","2"
"60.0","100.0","-4.235","Shallow","2"
"80.0","100.0","-4.997","Shallow","2"
"100.0","100.0","-4.301","Shallow","2"
"120.0","100.0","-1.918","Shallow","2"
"140.0","100.0","1.25","Shallow","2"
"160.0","100.0","3.57","Shallow","2"
"180.0","100.0","3.752","Shallow","2"
"200.0","100.0","1.78","Shallow","2"
"220.0","100.0","-1.018","Shallow","2"
"240.0","100.0","-2.861","Shallow","2"
"260.0","100.0","-2.697","Shallow","2"
"280.0","100.0","-0.851","Shallow","2"
"300.0","100.0","1.3","Shallow","2"
"20.0","120.0","-4.886","Shallow","2"
"40.0","120.0","-4.997","Shallow","2"
"60.0","120.0","-4.848","Shallow","2"
"80.0","120.0","-3.914","Shallow","2"
"100.0","120.0","-1.918","Shallow","2"
"120.0","120.0","0.769","Shallow","2"
"140.0","120.0","3.115","Shallow","2"
"160.0","120.0","3.967","Shallow","2"
"180.0","120.0","2.833","Shallow","2"
"200.0","120.0","0.333","Shallow","2"
"220.0","120.0","-2.088","Shallow","2"
"240.0","120.0","-3.05","Shallow","2"
"260.0","120.0","-2.109","Shallow","2"
"280.0","120.0","-0.014","Shallow","2"
"300.0","120.0","1.827","Shallow","2"
"20.0","140.0","-3.914","Shallow","2"
"40.0","140.0","-3.469","Shallow","2"
"60.0","140.0","-2.46","Shallow","2"
"80.0","140.0","-0.814","Shallow","2"
"100.0","140.0","1.25","Shallow","2"
"120.0","140.0","3.115","Shallow","2"
"140.0","140.0","3.968","Shallow","2"
"160.0","140.0","3.269","Shallow","2"
"180.0","140.0","1.205","Shallow","2"
"200.0","140.0","-1.259","Shallow","2"
"220.0","140.0","-2.861","Shallow","2"
"240.0","140.0","-2.785","Shallow","2"
"260.0","140.0","-1.184","Shallow","2"
"280.0","140.0","0.905","Shallow","2"
"300.0","140.0","2.218","Shallow","2"
"20.0","160.0","-0.269","Shallow","2"
"40.0","160.0","0.261","Shallow","2"
"60.0","160.0","1.25","Shallow","2"
"80.0","160.0","2.488","Shallow","2"
"100.0","160.0","3.57","Shallow","2"
"120.0","160.0","3.967","Shallow","2"
"140.0","160.0","3.269","Shallow","2"
"160.0","160.0","1.495","Shallow","2"
"180.0","160.0","-0.766","Shallow","2"
"200.0","160.0","-2.549","Shallow","2"
"220.0","160.0","-3.016","Shallow","2"
"240.0","160.0","-1.967","Shallow","2"
"260.0","160.0","-0.014","Shallow","2"
"280.0","160.0","1.736","Shallow","2"
"300.0","160.0","2.328","Shallow","2"
"20.0","180.0","3.115","Shallow","2"
"40.0","180.0","3.365","Shallow","2"
"60.0","180.0","3.733","Shallow","2"
"80.0","180.0","3.968","Shallow","2"
"100.0","180.0","3.752","Shallow","2"
"120.0","180.0","2.833","Shallow","2"
"140.0","180.0","1.205","Shallow","2"
"160.0","180.0","-0.766","Shallow","2"
"180.0","180.0","-2.412","Shallow","2"
"200.0","180.0","-3.05","Shallow","2"
"220.0","180.0","-2.37","Shallow","2"
"240.0","180.0","-0.682","Shallow","2"
"260.0","180.0","1.174","Shallow","2"
"280.0","180.0","2.256","Shallow","2"
"300.0","180.0","2.045","Shallow","2"
"20.0","200.0","3.857","Shallow","2"
"40.0","200.0","3.752","Shallow","2"
"60.0","200.0","3.456","Shallow","2"
"80.0","200.0","2.833","Shallow","2"
"100.0","200.0","1.78","Shallow","2"
"120.0","200.0","0.333","Shallow","2"
"140.0","200.0","-1.259","Shallow","2"
"160.0","200.0","-2.549","Shallow","2"
"180.0","200.0","-3.05","Shallow","2"
"200.0","200.0","-2.488","Shallow","2"
"220.0","200.0","-1.018","Shallow","2"
"240.0","200.0","0.763","Shallow","2"
"260.0","200.0","2.057","Shallow","2"
"280.0","200.0","2.269","Shallow","2"
"300.0","200.0","1.344","Shallow","2"
"20.0","220.0","1.78","Shallow","2"
"40.0","220.0","1.495","Shallow","2"
"60.0","220.0","0.914","Shallow","2"
"80.0","220.0","0.048","Shallow","2"
"100.0","220.0","-1.018","Shallow","2"
"120.0","220.0","-2.088","Shallow","2"
"140.0","220.0","-2.861","Shallow","2"
"160.0","220.0","-3.016","Shallow","2"
"180.0","220.0","-2.37","Shallow","2"
"200.0","220.0","-1.018","Shallow","2"
"220.0","220.0","0.615","Shallow","2"
"240.0","220.0","1.911","Shallow","2"
"260.0","220.0","2.328","Shallow","2"
"280.0","220.0","1.694","Shallow","2"
"300.0","220.0","0.335","Shallow","2"
"20.0","240.0","-1.259","Shallow","2"
"40.0","240.0","-1.488","Shallow","2"
"60.0","240.0","-1.903","Shallow","2"
"80.0","240.0","-2.412","Shallow","2"
"100.0","240.0","-2.861","Shallow","2"
"120.0","240.0","-3.05","Shallow","2"
"140.0","240.0","-2.785","Shallow","2"
"160.0","240.0","-1.967","Shallow","2"
"180.0","240.0","-0.682","Shallow","2"
"200.0","240.0","0.763","Shallow","2"
"220.0","240.0","1.911","Shallow","2"
"240.0","240.0","2.335","Shallow","2"
"260.0","240.0","1.848","Shallow","2"
"280.0","240.0","0.647","Shallow","2"
"300.0","240.0","-0.735","Shallow","2"
"20.0","260.0","-2.985","Shallow","2"
"40.0","260.0","-3.022","Shallow","2"
"60.0","260.0","-3.05","Shallow","2"
"80.0","260.0","-2.978","Shallow","2"
"100.0","260.0","-2.697","Shallow","2"
"120.0","260.0","-2.109","Shallow","2"
"140.0","260.0","-1.184","Shallow","2"
"160.0","260.0","-0.014","Shallow","2"
"180.0","260.0","1.174","Shallow","2"
"200.0","260.0","2.057","Shallow","2"
"220.0","260.0","2.328","Shallow","2"
"240.0","260.0","1.848","Shallow","2"
"260.0","260.0","0.75","Shallow","2"
"280.0","260.0","-0.557","Shallow","2"
"300.0","260.0","-1.543","Shallow","2"
"20.0","280.0","-2.37","Shallow","2"
"40.0","280.0","-2.243","Shallow","2"
"60.0","280.0","-1.967","Shallow","2"
"80.0","280.0","-1.509","Shallow","2"
"100.0","280.0","-0.851","Shallow","2"
"120.0","280.0","-0.014","Shallow","2"
"140.0","280.0","0.905","Shallow","2"
"160.0","280.0","1.736","Shallow","2"
"180.0","280.0","2.256","Shallow","2"
"200.0","280.0","2.269","Shallow","2"
"220.0","280.0","1.694","Shallow","2"
"240.0","280.0","0.647","Shallow","2"
"260.0","280.0","-0.557","Shallow","2"
"280.0","280.0","-1.495","Shallow","2"
"300.0","280.0","-1.806","Shallow","2"
"20.0","300.0","-0.179","Shallow","2"
"40.0","300.0","-0.014","Shallow","2"
"60.0","300.0","0.308","Shallow","2"
"80.0","300.0","0.763","Shallow","2"
"100.0","300.0","1.3","Shallow","2"
"120.0","300.0","1.827","Shallow","2"
"140.0","300.0","2.218","Shallow","2"
"160.0","300.0","2.328","Shallow","2"
"180.0","300.0","2.045","Shallow","2"
"200.0","300.0","1.344","Shallow","2"
"220.0","300.0","0.335","Shallow","2"
"240.0","300.0","-0.735","Shallow","2"
"260.0","300.0","-1.543","Shallow","2"
"280.0","300.0","-1.806","Shallow","2"
"300.0","300.0","-1.416","Shallow","2"
"20.0","20.0","-2.398","Shallow","3"
"40.0","20.0","2.149","Shallow","3"
"60.0","20.0","5.467","Shallow","3"
"80.0","20.0","4.747","Shallow","3"
"100.0","20.0","0.666","Shallow","3"
"120.0","20.0","-3.532","Shallow","3"
"140.0","20.0","-4.774","Shallow","3"
"160.0","20.0","-2.477","Shallow","3"
"180.0","20.0","1.29","Shallow","3"
"200.0","20.0","3.654","Shallow","3"
"220.0","20.0","3.122","Shallow","3"
"240.0","20.0","0.469","Shallow","3"
"260.0","20.0","-2.139","Shallow","3"
"280.0","20.0","-2.875","Shallow","3"
"300.0","20.0","-1.488","Shallow","3"
"20.0","40.0","2.149","Shallow","3"
"40.0","40.0","4.417","Shallow","3"
"60.0","40.0","5.713","Shallow","3"
"80.0","40.0","3.85","Shallow","3"
"100.0","40.0","-0.364","Shallow","3"
"120.0","40.0","-4.029","Shallow","3"
"140.0","40.0","-4.626","Shallow","3"
"160.0","40.0","-1.999","Shallow","3"
"180.0","40.0","1.687","Shallow","3"
"200.0","40.0","3.739","Shallow","3"
"220.0","40.0","2.933","Shallow","3"
"240.0","40.0","0.208","Shallow","3"
"260.0","40.0","-2.282","Shallow","3"
"280.0","40.0","-2.837","Shallow","3"
"300.0","40.0","-1.341","Shallow","3"
"20.0","60.0","5.467","Shallow","3"
"40.0","60.0","5.713","Shallow","3"
"60.0","60.0","4.747","Shallow","3"
"80.0","60.0","1.743","Shallow","3"
"100.0","60.0","-2.171","Shallow","3"
"120.0","60.0","-4.657","Shallow","3"
"140.0","60.0","-4.11","Shallow","3"
"160.0","60.0","-1.017","Shallow","3"
"180.0","60.0","2.388","Shallow","3"
"200.0","60.0","3.806","Shallow","3"
"220.0","60.0","2.507","Shallow","3"
"240.0","60.0","-0.301","Shallow","3"
"260.0","60.0","-2.524","Shallow","3"
"280.0","60.0","-2.725","Shallow","3"
"300.0","60.0","-1.04","Shallow","3"
"20.0","80.0","4.747","Shallow","3"
"40.0","80.0","3.85","Shallow","3"
"60.0","80.0","1.743","Shallow","3"
"80.0","80.0","-1.317","Shallow","3"
"100.0","80.0","-4.029","Shallow","3"
"120.0","80.0","-4.774","Shallow","3"
"140.0","80.0","-2.936","Shallow","3"
"160.0","80.0","0.42","Shallow","3"
"180.0","80.0","3.184","Shallow","3"
"200.0","80.0","3.67","Shallow","3"
"220.0","80.0","1.781","Shallow","3"
"240.0","80.0","-1.011","Shallow","3"
"260.0","80.0","-2.777","Shallow","3"
"280.0","80.0","-2.48","Shallow","3"
"300.0","80.0","-0.577","Shallow","3"
"20.0","100.0","0.666","Shallow","3"
"40.0","100.0","-0.364","Shallow","3"
"60.0","100.0","-2.171","Shallow","3"
"80.0","100.0","-4.029","Shallow","3"
"100.0","100.0","-4.835","Shallow","3"
"120.0","100.0","-3.762","Shallow","3"
"140.0","100.0","-1.017","Shallow","3"
"160.0","100.0","2.054","Shallow","3"
"180.0","100.0","3.739","Shallow","3"
"200.0","100.0","3.122","Shallow","3"
"220.0","100.0","0.733","Shallow","3"
"240.0","100.0","-1.813","Shallow","3"
"260.0","100.0","-2.915","Shallow","3"
"280.0","100.0","-2.033","Shallow","3"
"300.0","100.0","0.035","Shallow","3"
"20.0","120.0","-3.532","Shallow","3"
"40.0","120.0","-4.029","Shallow","3"
"60.0","120.0","-4.657","Shallow","3"
"80.0","120.0","-4.774","Shallow","3"
"100.0","120.0","-3.762","Shallow","3"
"120.0","120.0","-1.51","Shallow","3"
"140.0","120.0","1.29","Shallow","3"
"160.0","120.0","3.377","Shallow","3"
"180.0","120.0","3.67","Shallow","3"
"200.0","120.0","2.032","Shallow","3"
"220.0","120.0","-0.546","Shallow","3"
"240.0","120.0","-2.524","Shallow","3"
"260.0","120.0","-2.786","Shallow","3"
"280.0","120.0","-1.341","Shallow","3"
"300.0","120.0","0.747","Shallow","3"
"20.0","140.0","-4.774","Shallow","3"
"40.0","140.0","-4.626","Shallow","3"
"60.0","140.0","-4.11","Shallow","3"
"80.0","140.0","-2.936","Shallow","3"
"100.0","140.0","-1.017","Shallow","3"
"120.0","140.0","1.29","Shallow","3"
"140.0","140.0","3.184","Shallow","3"
"160.0","140.0","3.791","Shallow","3"
"180.0","140.0","2.727","Shallow","3"
"200.0","140.0","0.469","Shallow","3"
"220.0","140.0","-1.813","Shallow","3"
"240.0","140.0","-2.901","Shallow","3"
"260.0","140.0","-2.272","Shallow","3"
"280.0","140.0","-0.422","Shallow","3"
"300.0","140.0","1.455","Shallow","3"
"20.0","160.0","-2.477","Shallow","3"
"40.0","160.0","-1.999","Shallow","3"
"60.0","160.0","-1.017","Shallow","3"
"80.0","160.0","0.42","Shallow","3"
"100.0","160.0","2.054","Shallow","3"
"120.0","160.0","3.377","Shallow","3"
"140.0","160.0","3.791","Shallow","3"
"160.0","160.0","2.933","Shallow","3"
"180.0","160.0","0.997","Shallow","3"
"200.0","160.0","-1.229","Shallow","3"
"220.0","160.0","-2.707","Shallow","3"
"240.0","160.0","-2.725","Shallow","3"
"260.0","160.0","-1.341","Shallow","3"
"280.0","160.0","0.612","Shallow","3"
"300.0","160.0","2.007","Shallow","3"
"20.0","180.0","1.29","Shallow","3"
"40.0","180.0","1.687","Shallow","3"
"60.0","180.0","2.388","Shallow","3"
"80.0","180.0","3.184","Shallow","3"
"100.0","180.0","3.739","Shallow","3"
"120.0","180.0","3.67","Shallow","3"
"140.0","180.0","2.727","Shallow","3"
"160.0","180.0","0.997","Shallow","3"
"180.0","180.0","-1.011","Shallow","3"
"200.0","180.0","-2.524","Shallow","3"
"220.0","180.0","-2.875","Shallow","3"
"240.0","180.0","-1.905","Shallow","3"
"260.0","180.0","-0.115","Shallow","3"
"280.0","180.0","1.553","Shallow","3"
"300.0","180.0","2.235","Shallow","3"
"20.0","200.0","3.654","Shallow","3"
"40.0","200.0","3.739","Shallow","3"
"60.0","200.0","3.806","Shallow","3"
"80.0","200.0","3.67","Shallow","3"
"100.0","200.0","3.122","Shallow","3"
"120.0","200.0","2.032","Shallow","3"
"140.0","200.0","0.469","Shallow","3"
"160.0","200.0","-1.229","Shallow","3"
"180.0","200.0","-2.524","Shallow","3"
"200.0","200.0","-2.901","Shallow","3"
"220.0","200.0","-2.156","Shallow","3"
"240.0","200.0","-0.577","Shallow","3"
"260.0","200.0","1.125","Shallow","3"
"280.0","200.0","2.144","Shallow","3"
"300.0","200.0","2.009","Shallow","3"
"20.0","220.0","3.122","Shallow","3"
"40.0","220.0","2.933","Shallow","3"
"60.0","220.0","2.507","Shallow","3"
"80.0","220.0","1.781","Shallow","3"
"100.0","220.0","0.733","Shallow","3"
"120.0","220.0","-0.546","Shallow","3"
"140.0","220.0","-1.813","Shallow","3"
"160.0","220.0","-2.707","Shallow","3"
"180.0","220.0","-2.875","Shallow","3"
"200.0","220.0","-2.156","Shallow","3"
"220.0","220.0","-0.732","Shallow","3"
"240.0","220.0","0.878","Shallow","3"
"260.0","220.0","2.007","Shallow","3"
"280.0","220.0","2.167","Shallow","3"
"300.0","220.0","1.312","Shallow","3"
"20.0","240.0","0.469","Shallow","3"
"40.0","240.0","0.208","Shallow","3"
"60.0","240.0","-0.301","Shallow","3"
"80.0","240.0","-1.011","Shallow","3"
"100.0","240.0","-1.813","Shallow","3"
"120.0","240.0","-2.524","Shallow","3"
"140.0","240.0","-2.901","Shallow","3"
"160.0","240.0","-2.725","Shallow","3"
"180.0","240.0","-1.905","Shallow","3"
"200.0","240.0","-0.577","Shallow","3"
"220.0","240.0","0.878","Shallow","3"
"240.0","240.0","1.948","Shallow","3"
"260.0","240.0","2.212","Shallow","3"
"280.0","240.0","1.558","Shallow","3"
"300.0","240.0","0.284","Shallow","3"
"20.0","260.0","-2.139","Shallow","3"
"40.0","260.0","-2.282","Shallow","3"
"60.0","260.0","-2.524","Shallow","3"
"80.0","260.0","-2.777","Shallow","3"
"100.0","260.0","-2.915","Shallow","3"
"120.0","260.0","-2.786","Shallow","3"
"140.0","260.0","-2.272","Shallow","3"
"160.0","260.0","-1.341","Shallow","3"
"180.0","260.0","-0.115","Shallow","3"
"200.0","260.0","1.125","Shallow","3"
"220.0","260.0","2.007","Shallow","3"
"240.0","260.0","2.212","Shallow","3"
"260.0","260.0","1.633","Shallow","3"
"280.0","260.0","0.477","Shallow","3"
"300.0","260.0","-0.787","Shallow","3"
"20.0","280.0","-2.875","Shallow","3"
"40.0","280.0","-2.837","Shallow","3"
"60.0","280.0","-2.725","Shallow","3"
"80.0","280.0","-2.48","Shallow","3"
