"country","continent","year","life","population","gdp","era"
"Burkina Faso","Africa","1957","34.906","4713416","617.1834648","1957"
"Burkina Faso","Africa","2007","52.295","14326203","1217.032994","2007"
"Burundi","Africa","1957","40.533","2667518","379.5646281","1957"
"Burundi","Africa","2007","49.58","8390505","430.0706916","2007"
"Cambodia","Asia","1957","41.366","5322536","434.0383364","1957"
"Cambodia","Asia","2007","59.723","14131858","1713.778686","2007"
"Cameroon","Africa","1957","40.428","5359923","1313.048099","1957"
"Cameroon","Africa","2007","50.43","17696293","2042.09524","2007"
"Canada","Americas","1957","69.96","17010154","12489.95006","1957"
"Canada","Americas","2007","80.653","33390141","36319.23501","2007"
"Central African Republic","Africa","1957","37.464","1392284","1190.844328","1957"
"Central African Republic","Africa","2007","44.741","4369038","706.016537","2007"
"Chad","Africa","1957","39.881","2894855","1308.495577","1957"
"Chad","Africa","2007","50.651","10238807","1704.063724","2007"
"Chile","Americas","1957","56.074","7048426","4315.622723","1957"
"Chile","Americas","2007","78.553","16284741","13171.63885","2007"
"China","Asia","1957","50.54896","637408000","575.9870009","1957"
"China","Asia","2007","72.961","1318683096","4959.114854","2007"
"Colombia","Americas","1957","55.118","14485993","2323.805581","1957"
"Colombia","Americas","2007","72.889","44227550","7006.580419","2007"
"Comoros","Africa","1957","42.46","170928","1211.148548","1957"
"Comoros","Africa","2007","65.152","710960","986.1478792","2007"
"Congo, Dem. Rep.","Africa","1957","40.652","15577932","905.8602303","1957"
"Congo, Dem. Rep.","Africa","2007","46.462","64606759","277.5518587","2007"
"Congo, Rep.","Africa","1957","45.053","940458","2315.056572","1957"
"Congo, Rep.","Africa","2007","55.322","3800610","3632.557798","2007"
"Costa Rica","Americas","1957","60.026","1112300","2990.010802","1957"
"Costa Rica","Americas","2007","78.782","4133884","9645.06142","2007"
"Cote d'Ivoire","Africa","1957","42.469","3300000","1500.895925","1957"
"Cote d'Ivoire","Africa","2007","48.328","18013409","1544.750112","2007"
"Croatia","Europe","1957","64.77","3991242","4338.231617","1957"
"Croatia","Europe","2007","75.748","4493312","14619.22272","2007"
"Cuba","Americas","1957","62.325","6640752","6092.174359","1957"
"Cuba","Americas","2007","78.273","11416987","8948.102923","2007"
"Czech Republic","Europe","1957","69.03","9513758","8256.343918","1957"
"Czech Republic","Europe","2007","76.486","10228744","22833.30851","2007"
"Denmark","Europe","1957","71.81","4487831","11099.65935","1957"
"Denmark","Europe","2007","78.332","5468120","35278.41874","2007"
"Djibouti","Africa","1957","37.328","71851","2864.969076","1957"
"Djibouti","Africa","2007","54.791","496374","2082.481567","2007"
"Dominican Republic","Americas","1957","49.828","2923186","1544.402995","1957"
"Dominican Republic","Americas","2007","72.235","9319622","6025.374752","2007"
"Ecuador","Americas","1957","51.356","4058385","3780.546651","1957"
"Ecuador","Americas","2007","74.994","13755680","6873.262326","2007"
"Egypt","Africa","1957","44.444","25009741","1458.915272","1957"
"Egypt","Africa","2007","71.338","80264543","5581.180998","2007"
"El Salvador","Americas","1957","48.57","2355805","3421.523218","1957"
"El Salvador","Americas","2007","71.878","6939688","5728.353514","2007"
"Equatorial Guinea","Africa","1957","35.983","232922","426.0964081","1957"
"Equatorial Guinea","Africa","2007","51.579","551201","12154.08975","2007"
"Eritrea","Africa","1957","38.047","1542611","344.1618859","1957"
"Eritrea","Africa","2007","58.04","4906585","641.3695236","2007"
"Ethiopia","Africa","1957","36.667","22815614","378.9041632","1957"
"Ethiopia","Africa","2007","52.947","76511887","690.8055759","2007"
"Finland","Europe","1957","67.49","4324000","7545.415386","1957"
"Finland","Europe","2007","79.313","5238460","33207.0844","2007"
"France","Europe","1957","68.93","44310863","8662.834898","1957"
"France","Europe","2007","80.657","61083916","30470.0167","2007"
"Gabon","Africa","1957","38.999","434904","4976.198099","1957"
"Gabon","Africa","2007","56.735","1454867","13206.48452","2007"
"Gambia","Africa","1957","32.065","323150","520.9267111","1957"
"Gambia","Africa","2007","59.448","1688359","752.7497265","2007"
"Germany","Europe","1957","69.1","71019069","10187.82665","1957"
"Germany","Europe","2007","79.406","82400996","32170.37442","2007"
"Ghana","Africa","1957","44.779","6391288","1043.561537","1957"
"Ghana","Africa","2007","60.022","22873338","1327.60891","2007"
"Greece","Europe","1957","67.86","8096218","4916.299889","1957"
"Greece","Europe","2007","79.483","10706290","27538.41188","2007"
"Guatemala","Americas","1957","44.142","3640876","2617.155967","1957"
"Guatemala","Americas","2007","70.259","12572928","5186.050003","2007"
"Guinea","Africa","1957","34.558","2876726","576.2670245","1957"
"Guinea","Africa","2007","56.007","9947814","942.6542111","2007"
"Guinea-Bissau","Africa","1957","33.489","601095","431.7904566","1957"
"Guinea-Bissau","Africa","2007","46.388","1472041","579.231743","2007"
"Haiti","Americas","1957","40.696","3507701","1726.887882","1957"
"Haiti","Americas","2007","60.916","8502814","1201.637154","2007"
"Honduras","Americas","1957","44.665","1770390","2220.487682","1957"
"Honduras","Americas","2007","70.198","7483763","3548.330846","2007"
"Hong Kong, China","Asia","1957","64.75","2736300","3629.076457","1957"
"Hong Kong, China","Asia","2007","82.208","6980412","39724.97867","2007"
"Hungary","Europe","1957","66.41","9839000","6040.180011","1957"
"Hungary","Europe","2007","73.338","9956108","18008.94444","2007"
"Iceland","Europe","1957","73.47","165110","9244.001412","1957"
"Iceland","Europe","2007","81.757","301931","36180.78919","2007"
"India","Asia","1957","40.249","409000000","590.061996","1957"
"India","Asia","2007","64.698","1110396331","2452.210407","2007"
"Indonesia","Asia","1957","39.918","90124000","858.9002707","1957"
"Indonesia","Asia","2007","70.65","223547000","3540.651564","2007"
"Iran","Asia","1957","47.181","19792000","3290.257643","1957"
"Iran","Asia","2007","70.964","69453570","11605.71449","2007"
"Iraq","Asia","1957","48.437","6248643","6229.333562","1957"
"Iraq","Asia","2007","59.545","27499638","4471.061906","2007"
"Ireland","Europe","1957","68.9","2878220","5599.077872","1957"
"Ireland","Europe","2007","78.885","4109086","40675.99635","2007"
"Israel","Asia","1957","67.84","1944401","5385.278451","1957"
"Israel","Asia","2007","80.745","6426679","25523.2771","2007"
"Italy","Europe","1957","67.81","49182000","6248.656232","1957"
"Italy","Europe","2007","80.546","58147733","28569.7197","2007"
"Jamaica","Americas","1957","62.61","1535090","4756.525781","1957"
"Jamaica","Americas","2007","72.567","2780132","7320.880262","2007"
"Japan","Asia","1957","65.5","91563009","4317.694365","1957"
"Japan","Asia","2007","82.603","127467972","31656.06806","2007"
"Jordan","Asia","1957","45.669","746559","1886.080591","1957"
"Jordan","Asia","2007","72.535","6053193","4519.461171","2007"
"Kenya","Africa","1957","44.686","7454779","944.4383152","1957"
"Kenya","Africa","2007","54.11","35610177","1463.249282","2007"
"Korea, Dem. Rep.","Asia","1957","54.081","9411381","1571.134655","1957"
"Korea, Dem. Rep.","Asia","2007","67.297","23301725","1593.06548","2007"
"Korea, Rep.","Asia","1957","52.681","22611552","1487.593537","1957"
"Korea, Rep.","Asia","2007","78.623","49044790","23348.13973","2007"
"Kuwait","Asia","1957","58.033","212846","113523.1329","1957"
"Kuwait","Asia","2007","77.588","2505559","47306.98978","2007"
"Lebanon","Asia","1957","59.489","1647412","6089.786934","1957"
"Lebanon","Asia","2007","71.993","3921278","10461.05868","2007"
"Lesotho","Africa","1957","45.047","813338","335.9971151","1957"
"Lesotho","Africa","2007","42.592","2012649","1569.331442","2007"
"Liberia","Africa","1957","39.486","975950","620.9699901","1957"
"Liberia","Africa","2007","45.678","3193942","414.5073415","2007"
"Libya","Africa","1957","45.289","1201578","3448.284395","1957"
"Libya","Africa","2007","73.952","6036914","12057.49928","2007"
"Madagascar","Africa","1957","38.865","5181679","1589.20275","1957"
"Madagascar","Africa","2007","59.443","19167654","1044.770126","2007"
"Malawi","Africa","1957","37.207","3221238","416.3698064","1957"
"Malawi","Africa","2007","48.303","13327079","759.3499101","2007"
"Malaysia","Asia","1957","52.102","7739235","1810.066992","1957"
"Malaysia","Asia","2007","74.241","24821286","12451.6558","2007"
"Mali","Africa","1957","35.307","4241884","490.3821867","1957"
"Mali","Africa","2007","54.467","12031795","1042.581557","2007"
"Mauritania","Africa","1957","42.338","1076852","846.1202613","1957"
"Mauritania","Africa","2007","64.164","3270065","1803.151496","2007"
"Mauritius","Africa","1957","58.089","609816","2034.037981","1957"
"Mauritius","Africa","2007","72.801","1250882","10956.99112","2007"
"Mexico","Americas","1957","55.19","35015548","4131.546641","1957"
"Mexico","Americas","2007","76.195","108700891","11977.57496","2007"
"Mongolia","Asia","1957","45.248","882134","912.6626085","1957"
"Mongolia","Asia","2007","66.803","2874127","3095.772271","2007"
"Montenegro","Europe","1957","61.448","442829","3682.259903","1957"
"Montenegro","Europe","2007","74.543","684736","9253.896111","2007"
"Morocco","Africa","1957","45.423","11406350","1642.002314","1957"
"Morocco","Africa","2007","71.164","33757175","3820.17523","2007"
"Mozambique","Africa","1957","33.779","7038035","495.5868333","1957"
"Mozambique","Africa","2007","42.082","19951656","823.6856205","2007"
"Myanmar","Asia","1957","41.905","21731844","350.0","1957"
"Myanmar","Asia","2007","62.069","47761980","944.0","2007"
"Namibia","Africa","1957","45.226","548080","2621.448058","1957"
"Namibia","Africa","2007","52.906","2055080","4811.060429","2007"
"Nepal","Asia","1957","37.686","9682338","597.9363558","1957"
"Nepal","Asia","2007","63.785","28901790","1091.359778","2007"
"Netherlands","Europe","1957","72.99","11026383","11276.19344","1957"
"Netherlands","Europe","2007","79.762","16570613","36797.93332","2007"
"New Zealand","Oceania","1957","70.26","2229407","12247.39532","1957"
"New Zealand","Oceania","2007","80.204","4115771","25185.00911","2007"
"Nicaragua","Americas","1957","45.432","1358828","3457.415947","1957"
"Nicaragua","Americas","2007","72.899","5675356","2749.320965","2007"
"Niger","Africa","1957","38.598","3692184","835.5234025","1957"
"Niger","Africa","2007","56.867","12894865","619.6768924","2007"
"Nigeria","Africa","1957","37.802","37173340","1100.592563","1957"
"Nigeria","Africa","2007","46.859","135031164","2013.977305","2007"
"Norway","Europe","1957","73.44","3491938","11653.97304","1957"
"Norway","Europe","2007","80.196","4627926","49357.19017","2007"
"Oman","Asia","1957","40.08","561977","2242.746551","1957"
"Oman","Asia","2007","75.64","3204897","22316.19287","2007"
"Pakistan","Asia","1957","45.557","46679944","747.0835292","1957"
"Pakistan","Asia","2007","65.483","169270617","2605.94758","2007"
"Panama","Americas","1957","59.201","1063506","2961.800905","1957"
"Panama","Americas","2007","75.537","3242173","9809.185636","2007"
"Paraguay","Americas","1957","63.196","1770902","2046.154706","1957"
"Paraguay","Americas","2007","71.752","6667147","4172.838464","2007"
"Peru","Americas","1957","46.263","9146100","4245.256698","1957"
"Peru","Americas","2007","71.421","28674757","7408.905561","2007"
"Philippines","Asia","1957","51.334","26072194","1547.944844","1957"
"Philippines","Asia","2007","71.688","91077287","3190.481016","2007"
"Poland","Europe","1957","65.77","28235346","4734.253019","1957"
"Poland","Europe","2007","75.563","38518241","15389.92468","2007"
"Portugal","Europe","1957","61.51","8817650","3774.571743","1957"
"Portugal","Europe","2007","78.098","10642836","20509.64777","2007"
"Puerto Rico","Americas","1957","68.54","2260000","3907.156189","1957"
"Puerto Rico","Americas","2007","78.746","3942491","19328.70901","2007"
"Reunion","Africa","1957","55.09","308700","2769.451844","1957"
"Reunion","Africa","2007","76.442","798094","7670.122558","2007"
"Romania","Europe","1957","64.1","17829327","3943.370225","1957"
"Romania","Europe","2007","72.476","22276056","10808.47561","2007"
"Rwanda","Africa","1957","41.5","2822082","540.2893983","1957"
"Rwanda","Africa","2007","46.242","8860588","863.0884639","2007"
"Sao Tome and Principe","Africa","1957","48.945","61325","860.7369026","1957"
"Sao Tome and Principe","Africa","2007","65.528","199579","1598.435089","2007"
"Saudi Arabia","Asia","1957","42.868","4419650","8157.591248","1957"
"Saudi Arabia","Asia","2007","72.777","27601038","21654.83194","2007"
"Senegal","Africa","1957","39.329","3054547","1567.653006","1957"
"Senegal","Africa","2007","63.062","12267493","1712.472136","2007"
"Serbia","Europe","1957","61.685","7271135","4981.090891","1957"
"Serbia","Europe","2007","74.002","10150265","9786.534714","2007"
"Sierra Leone","Africa","1957","31.57","2295678","1004.484437","1957"
"Sierra Leone","Africa","2007","42.568","6144562","862.5407561","2007"
"Singapore","Asia","1957","63.179","1445929","2843.104409","1957"
"Singapore","Asia","2007","79.972","4553009","47143.17964","2007"
"Slovak Republic","Europe","1957","67.45","3844277","6093.26298","1957"
"Slovak Republic","Europe","2007","74.663","5447502","18678.31435","2007"
"Slovenia","Europe","1957","67.85","1533070","5862.276629","1957"
"Slovenia","Europe","2007","77.926","2009245","25768.25759","2007"
"Somalia","Africa","1957","34.977","2780415","1258.147413","1957"
"Somalia","Africa","2007","48.159","9118773","926.1410683","2007"
"South Africa","Africa","1957","47.985","16151549","5487.104219","1957"
"South Africa","Africa","2007","49.339","43997828","9269.657808","2007"
"Spain","Europe","1957","66.66","29841614","4564.80241","1957"
"Spain","Europe","2007","80.941","40448191","28821.0637","2007"
"Sri Lanka","Asia","1957","61.456","9128546","1072.546602","1957"
"Sri Lanka","Asia","2007","72.396","20378239","3970.095407","2007"
"Sudan","Africa","1957","39.624","9753392","1770.337074","1957"
"Sudan","Africa","2007","58.556","42292929","2602.394995","2007"
"Swaziland","Africa","1957","43.424","326741","1244.708364","1957"
"Swaziland","Africa","2007","39.613","1133066","4513.480643","2007"
"Sweden","Europe","1957","72.49","7363802","9911.878226","1957"
"Sweden","Europe","2007","80.884","9031088","33859.74835","2007"
"Switzerland","Europe","1957","70.56","5126000","17909.48973","1957"
"Switzerland","Europe","2007","81.701","7554661","37506.41907","2007"
"Syria","Asia","1957","48.284","4149908","2117.234893","1957"
"Syria","Asia","2007","74.143","19314747","4184.548089","2007"
"Taiwan","Asia","1957","62.4","10164215","1507.86129","1957"
"Taiwan","Asia","2007","78.4","23174294","28718.27684","2007"
"Tanzania","Africa","1957","42.974","9452826","698.5356073","1957"
"Tanzania","Africa","2007","52.517","38139640","1107.482182","2007"
"Thailand","Asia","1957","53.63","25041917","793.5774148","1957"
"Thailand","Asia","2007","70.616","65068149","7458.396327","2007"
"Togo","Africa","1957","41.208","1357445","925.9083202","1957"
"Togo","Africa","2007","58.42","5701579","882.9699438","2007"
"Trinidad and Tobago","Americas","1957","61.8","764900","4100.3934","1957"
"Trinidad and Tobago","Americas","2007","69.819","1056608","18008.50924","2007"
"Tunisia","Africa","1957","47.1","3950849","1395.232468","1957"
"Tunisia","Africa","2007","73.923","10276158","7092.923025","2007"
"Turkey","Europe","1957","48.079","25670939","2218.754257","1957"
"Turkey","Europe","2007","71.777","71158647","8458.276384","2007"
"Uganda","Africa","1957","42.571","6675501","774.3710692","1957"
"Uganda","Africa","2007","51.542","29170398","1056.380121","2007"
"United Kingdom","Europe","1957","70.42","51430000","11283.17795","1957"
"United Kingdom","Europe","2007","79.425","60776238","33203.26128","2007"
"United States","Americas","1957","69.49","171984000","14847.12712","1957"
"United States","Americas","2007","78.242","301139947","42951.65309","2007"
"Uruguay","Americas","1957","67.044","2424959","6150.772969","1957"
"Uruguay","Americas","2007","76.384","3447496","10611.46299","2007"
"Venezuela","Americas","1957","57.907","6702668","9802.466526","1957"
"Venezuela","Americas","2007","73.747","26084662","11415.80569","2007"
"Vietnam","Asia","1957","42.887","28998543","676.2854478","1957"
"Vietnam","Asia","2007","74.249","85262356","2441.576404","2007"
"West Bank and Gaza","Asia","1957","45.671","1070439","1827.067742","1957"
"West Bank and Gaza","Asia","2007","73.422","4018332","3025.349798","2007"
"Yemen, Rep.","Asia","1957","33.97","5498090","804.8304547","1957"
"Yemen, Rep.","Asia","2007","62.698","22211743","2280.769906","2007"
"Zambia","Africa","1957","44.077","3016000","1311.956766","1957"
"Zambia","Africa","2007","42.384","11746035","1271.211593","2007"
"Zimbabwe","Africa","1957","50.469","3646340","518.7642681","1957"
"Zimbabwe","Africa","2007","43.487","12311143","469.7092981","2007"
