"direction","bearing","speed","season"
"E","110.02177803684026","14.0","Summer"
"E","100.21497783157974","16.2","Summer"
"E","85.51588795147836","15.6","Winter"
"E","108.09440916124731","12.2","Summer"
"E","82.8342444030568","15.0","Summer"
"E","108.5683323033154","17.7","Summer"
"E","88.63764412887394","15.2","Winter"
"E","92.14934060815722","15.8","Winter"
"E","94.63928476721048","13.9","Winter"
"E","97.76484457124025","12.6","Summer"
"E","93.4171527698636","15.3","Winter"
"E","110.1279151532799","13.4","Summer"
"E","72.76045090239495","9.1","Summer"
"E","81.79986160993576","14.1","Winter"
"E","100.08496863301843","16.4","Summer"
"E","83.00131362397224","14.0","Summer"
"E","86.78232721053064","15.4","Winter"
"E","77.37759985402226","17.2","Summer"
"E","86.59599936567247","14.5","Winter"
"E","87.05717129260302","11.9","Winter"
"SE","148.74113132525235","11.0","Summer"
"SE","123.99241300020367","10.7","Winter"
"SE","141.2066755304113","9.4","Summer"
"SE","136.50508501846343","11.8","Winter"
"SE","142.50213699042797","12.8","Winter"
"SE","140.23557776864618","12.0","Winter"
"SE","117.40539862494916","10.7","Summer"
"SE","150.85970714502037","12.4","Winter"
"SE","146.36081253085285","13.6","Summer"
"SE","120.20907290745527","13.4","Winter"
"SE","116.97259689494967","7.7","Summer"
"SE","128.50877926126122","10.3","Winter"
"SE","154.48666612338275","12.4","Winter"
"SE","116.15472991578281","8.3","Winter"
"SE","129.51853619888425","14.4","Winter"
"SE","144.12108062580228","12.9","Summer"
"SE","130.2672318443656","16.6","Winter"
"SE","156.07848116010427","10.1","Summer"
"SE","154.7824752945453","14.5","Summer"
"SE","130.38589671161026","14.4","Winter"
"SE","126.10251960065216","10.4","Winter"
"SE","119.11917627975345","12.9","Summer"
"SE","151.84672636911273","12.5","Summer"
"SE","134.45021121390164","11.6","Summer"
"SE","148.9286684980616","10.9","Summer"
"SE","131.12733844853938","13.0","Winter"
"SE","122.67020234838128","11.9","Winter"
"SE","152.1611316492781","14.8","Winter"
"SE","140.4174566110596","18.3","Summer"
"SE","115.7078716205433","13.2","Summer"
"SE","121.94835461117327","13.4","Summer"
"SE","133.5119361244142","9.4","Winter"
"SE","139.41307114623487","10.7","Winter"
"S","178.83656006492674","6.9","Summer"
"S","166.01792279910296","9.3","Winter"
"S","167.41799739655107","9.4","Winter"
"S","184.98784373234957","11.5","Winter"
"S","162.56866191420704","11.2","Winter"
"S","196.92346800398082","7.6","Winter"
"S","161.06399924773723","8.2","Winter"
"S","181.61110597196966","13.4","Summer"
"S","160.54372105095536","5.1","Summer"
"S","170.26767867524177","10.3","Winter"
"S","183.93009637203068","8.7","Summer"
"S","194.24207401275635","10.8","Winter"
"S","164.66845525614917","8.1","Summer"
"S","164.09175473824143","3.6","Summer"
"S","171.29978828504682","8.7","Summer"
"S","173.53760393708944","10.4","Summer"
"S","162.49546233192086","6.7","Winter"
"S","194.5384514182806","5.9","Summer"
"SW","212.63369696587324","16.0","Summer"
"SW","223.8161606695503","14.5","Summer"
"SW","221.32867075596005","18.7","Summer"
"SW","217.4238322051242","18.0","Summer"
"SW","227.0390374744311","17.1","Summer"
"SW","210.93415279965848","22.3","Winter"
"SW","238.26554356701672","17.3","Winter"
"SW","233.57489819731563","21.1","Winter"
"SW","219.30533557198942","15.3","Summer"
"SW","231.61396441143006","12.5","Winter"
"SW","236.58104261849076","13.7","Summer"
"SW","212.470292721875","14.3","Summer"
"SW","235.3147666575387","21.7","Summer"
"SW","233.8540913052857","22.2","Summer"
"SW","209.59666713699698","17.8","Summer"
"SW","209.15566711500287","18.2","Winter"
"SW","225.33851157315075","16.3","Winter"
"SW","206.54730457253754","15.1","Summer"
"SW","215.99265024159104","15.9","Summer"
"SW","234.34842238668352","16.8","Winter"
"SW","233.42776934430003","15.8","Summer"
"SW","236.71758267562836","16.9","Winter"
"SW","226.59591013099998","17.1","Summer"
"SW","215.46859770733863","11.6","Winter"
"SW","246.90190087910742","15.9","Summer"
"SW","238.4930116739124","16.6","Summer"
"SW","241.1361403716728","14.1","Summer"
"SW","216.86013288982213","17.2","Winter"
"SW","229.02209126856178","13.3","Winter"
"SW","239.42353656794876","17.6","Summer"
"SW","232.54702850896865","19.7","Summer"
"SW","226.0449830731377","16.8","Summer"
"SW","212.72681757435203","18.7","Summer"
"SW","239.52625554986298","16.5","Winter"
"SW","233.61996172182262","16.8","Summer"
"SW","218.97119161859155","14.3","Summer"
"SW","227.84593602549285","14.3","Summer"
"SW","224.54722339846194","14.7","Winter"
"SW","240.26726647280157","18.9","Summer"
"SW","219.8945035515353","17.6","Summer"
"SW","233.36438318900764","21.2","Summer"
"SW","241.0992074329406","19.4","Winter"
"SW","219.2232571421191","16.8","Summer"
"SW","212.68078230321407","19.9","Winter"
"SW","222.9445670992136","14.2","Winter"
"SW","244.10358106344938","16.1","Summer"
"SW","224.1913093086332","17.5","Winter"
"W","280.205045895651","22.4","Winter"
"W","249.32823524530977","21.5","Winter"
"W","289.3214144902304","23.3","Winter"
"W","258.10993968881667","21.2","Winter"
"W","282.82853710558265","17.7","Summer"
"W","261.5631196051836","24.6","Summer"
"W","257.4069501776248","20.7","Winter"
"W","281.1973471371457","22.3","Winter"
"W","252.9986105170101","14.4","Summer"
"W","249.3059127945453","24.1","Summer"
"W","252.06757422536612","20.3","Winter"
"W","263.11074629891664","23.8","Winter"
"W","265.9486928675324","23.7","Winter"
"W","282.9472061013803","22.1","Winter"
"W","280.0040842667222","25.2","Summer"
"W","277.15598656982183","22.6","Summer"
"W","274.64667443651706","22.8","Summer"
"W","261.0806705094874","18.6","Winter"
"W","269.01592220086604","23.7","Winter"
"W","262.01540268585086","18.5","Winter"
"W","281.22273495141417","22.6","Winter"
"W","268.7447458207607","20.5","Winter"
"W","286.3069300437346","18.6","Winter"
"W","290.6295078471303","23.1","Winter"
"W","253.2013143748045","24.1","Winter"
"W","270.8558878172189","21.0","Winter"
"W","281.4386016400531","19.8","Winter"
"W","259.1585500286892","18.2","Winter"
"W","291.61682250350714","22.8","Winter"
"W","264.3607213702053","20.8","Summer"
"W","282.10860769078135","20.4","Summer"
"W","271.87458896264434","16.6","Summer"
"W","258.51235123258084","25.4","Summer"
"W","286.44222180265933","20.0","Winter"
"W","291.6689844960347","19.1","Winter"
"W","262.3113803593442","17.7","Winter"
"W","290.5330671649426","22.0","Summer"
"W","285.2425830634311","20.2","Summer"
"W","269.712546098046","19.2","Summer"
"W","267.1304324241355","20.8","Winter"
"W","264.02701302524656","18.4","Summer"
"W","250.01556857675314","18.9","Winter"
"W","275.5011547859758","20.5","Winter"
"W","281.3106340980157","18.2","Winter"
"W","280.4817336993292","21.4","Summer"
"W","285.5353057058528","19.8","Summer"
"W","253.1874309424311","21.9","Summer"
"W","262.03820025827736","22.4","Winter"
"W","268.88119827676564","22.1","Winter"
"W","272.99909339565784","20.9","Summer"
"W","257.0718662356958","22.4","Winter"
"W","267.51558395288885","21.0","Winter"
"W","285.1690184986219","21.6","Summer"
"W","273.719498434104","24.2","Winter"
"W","261.4313872428611","21.4","Summer"
"W","275.4978688573465","21.7","Winter"
"W","257.88806454185396","24.1","Summer"
"W","249.28211631719023","20.9","Summer"
"W","261.97134326025844","20.4","Summer"
"W","282.06572501547635","21.7","Winter"
"W","256.46356904134154","23.6","Winter"
"W","255.40251152403653","22.0","Summer"
"W","252.9855537172407","23.1","Winter"
"NW","324.8155394094065","14.8","Summer"
"NW","332.5314011890441","12.5","Summer"
"NW","331.86118023842573","15.0","Summer"
"NW","316.46563540399075","15.2","Summer"
"NW","334.75897705648094","11.7","Summer"
"NW","326.36463948432356","15.7","Winter"
"NW","328.66559045389295","12.3","Winter"
"NW","296.65969427488744","9.9","Summer"
"NW","313.83471599500626","5.6","Winter"
"NW","301.43932252097875","12.9","Winter"
"NW","299.4211120698601","9.3","Summer"
"NW","324.3353214841336","13.8","Summer"
"NW","324.79123703576624","11.9","Winter"
"NW","314.3954492267221","12.8","Winter"
"NW","335.6938735861331","11.4","Winter"
"NW","323.8830348690972","13.5","Summer"
"NW","322.858958450146","8.3","Summer"
"NW","330.9990481538698","16.1","Winter"
"NW","296.3524015182629","11.0","Summer"
"NW","335.3089567804709","13.9","Winter"
"NW","313.42384557891637","15.0","Winter"
"NW","298.4762579826638","10.6","Summer"
"NW","317.7052622521296","11.3","Summer"
"NW","327.3130243755877","14.3","Winter"
"NW","304.011179250665","15.4","Summer"
"NW","294.7695156503469","11.8","Winter"
