"east","north","altitude","glider","second"
"320.4107997505971","78.9741692148942","1278.4410842708935","Alpha","108.0"
"308.5553600861869","117.01961272403672","1285.4492524981324","Alpha","110.0"
"292.20048846555926","153.35864677444368","1292.457420725371","Alpha","112.0"
"271.58467574490646","187.46136642128155","1299.4655889526098","Alpha","114.0"
"247.00854689646334","218.8304772194624","1306.4737571798487","Alpha","116.0"
"218.83047721946235","247.00854689646343","1313.4819254070874","Alpha","118.0"
"187.46136642128124","271.58467574490675","1320.4900936343263","Alpha","120.0"
"153.3586467744436","292.20048846555926","1327.498261861565","Alpha","122.0"
"117.0196127240366","308.5553600861869","1334.5064300888037","Alpha","124.0"
"78.97416921489409","320.41079975059716","1341.5145983160423","Alpha","126.0"
"39.777104484256526","327.59392845235783","1348.5227665432813","Alpha","128.0"
"-0.0000000000001920655175713847","330.0","1355.5309347705202","Alpha","130.0"
"-39.77710448425662","327.59392845235783","1362.5391029977588","Alpha","132.0"
"-78.97416921489418","320.4107997505971","1369.5472712249975","Alpha","134.0"
"-117.0196127240367","308.5553600861869","1376.5554394522364","Alpha","136.0"
"-153.3586467744439","292.20048846555915","1383.5636076794751","Alpha","138.0"
"-187.46136642128155","271.5846757449065","1390.5717759067138","Alpha","140.0"
"-218.8304772194624","247.0085468964634","1397.5799441339527","Alpha","142.0"
"-247.00854689646326","218.83047721946255","1404.5881123611914","Alpha","144.0"
"-271.58467574490675","187.46136642128124","1411.59628058843","Alpha","146.0"
"-292.20048846555926","153.3586467744436","1418.604448815669","Alpha","148.0"
"-308.5553600861868","117.0196127240369","1425.6126170429077","Alpha","150.0"
"-320.4107997505972","78.97416921489382","1432.6207852701464","Alpha","152.0"
"-327.59392845235783","39.77710448425655","1439.6289534973853","Alpha","154.0"
"-330.0","0.00000000000012124003311558795","1446.637121724624","Alpha","156.0"
"-327.5939284523578","-39.77710448425689","1453.6452899518629","Alpha","158.0"
"-320.4107997505971","-78.97416921489416","1460.6534581791016","Alpha","160.0"
"-308.5553600861869","-117.01961272403668","1467.6616264063405","Alpha","162.0"
"-292.20048846555915","-153.3586467744439","1474.6697946335792","Alpha","164.0"
"-271.5846757449065","-187.46136642128153","1481.6779628608178","Alpha","166.0"
"-247.0085468964634","-218.83047721946238","1488.6861310880568","Alpha","168.0"
"-218.83047721946215","-247.0085468964636","1495.6942993152954","Alpha","170.0"
"-187.46136642128127","-271.5846757449067","1502.7024675425341","Alpha","172.0"
"-153.35864677444363","-292.20048846555926","1509.710635769773","Alpha","174.0"
"-117.01961272403636","-308.555360086187","1516.718803997012","Alpha","176.0"
"-78.97416921489385","-320.4107997505972","1523.7269722242504","Alpha","178.0"
"-39.77710448425657","-327.59392845235783","1530.7351404514893","Alpha","180.0"
"-0.0000000000001414467053015193","-330.0","1537.743308678728","Alpha","182.0"
"39.77710448425687","-327.5939284523578","1544.7514769059667","Alpha","184.0"
"78.97416921489415","-320.41079975059716","1551.7596451332056","Alpha","186.0"
"117.01961272403666","-308.5553600861869","1558.7678133604443","Alpha","188.0"
"153.35864677444388","-292.20048846555915","1565.7759815876832","Alpha","190.0"
"187.46136642128153","-271.5846757449065","1572.7841498149219","Alpha","192.0"
"218.83047721946238","-247.0085468964634","1579.7923180421608","Alpha","194.0"
"247.00854689646357","-218.83047721946215","1586.8004862693995","Alpha","196.0"
"271.5846757449067","-187.46136642128127","1593.8086544966382","Alpha","198.0"
"292.20048846555926","-153.35864677444366","1600.816822723877","Alpha","200.0"
"308.555360086187","-117.01961272403639","1607.8249909511158","Alpha","202.0"
"320.4107997505972","-78.97416921489388","1614.8331591783544","Alpha","204.0"
"327.59392845235783","-39.77710448425659","1621.8413274055933","Alpha","206.0"
"330.0","-0.00000000000016165337748745062","1628.849495632832","Alpha","208.0"
"327.5939284523578","39.777104484256846","1635.8576638600707","Alpha","210.0"
"320.41079975059716","78.97416921489412","1642.8658320873096","Alpha","212.0"
"308.5553600861869","117.01961272403665","1649.8740003145483","Alpha","214.0"
"292.20048846555915","153.35864677444386","1656.882168541787","Alpha","216.0"
"271.5846757449066","187.4613664212815","1663.890336769026","Alpha","218.0"
"247.00854689646343","218.83047721946235","1670.8985049962646","Alpha","220.0"
"218.83047721946218","247.00854689646357","1677.9066732235035","Alpha","222.0"
"187.4613664212813","271.5846757449067","1684.9148414507422","Alpha","224.0"
"153.35864677444366","292.20048846555926","1691.923009677981","Alpha","226.0"
"117.0196127240364","308.555360086187","1698.9311779052198","Alpha","228.0"
"78.97416921489389","320.4107997505972","1705.9393461324585","Alpha","230.0"
"39.777104484256604","327.59392845235783","1712.9475143596974","Alpha","232.0"
"-0.00000000000040433770732870068","330.0","1719.955682586936","Alpha","234.0"
"-39.77710448425683","327.5939284523578","1726.9638508141747","Alpha","236.0"
"-78.9741692148941","320.41079975059716","1733.9720190414137","Alpha","238.0"
"-117.01961272403717","308.55536008618674","1740.9801872686526","Alpha","240.0"
"-153.35864677444386","292.20048846555915","1747.988355495891","Alpha","242.0"
"-187.4613664212815","271.5846757449066","1754.99652372313","Alpha","244.0"
"-218.83047721946235","247.00854689646343","1762.0046919503686","Alpha","246.0"
"-247.00854689646357","218.83047721946218","1769.0128601776073","Alpha","248.0"
"-271.5846757449067","187.4613664212813","1776.0210284048462","Alpha","250.0"
"-292.20048846555926","153.35864677444368","1783.029196632085","Alpha","252.0"
"-308.555360086187","117.01961272403645","1790.0373648593238","Alpha","254.0"
"-320.4107997505972","78.9741692148939","1797.0455330865625","Alpha","256.0"
"-327.59392845235783","39.777104484256625","1804.0537013138014","Alpha","258.0"
"-330.0","-0.0000000000003841310351427694","1811.06186954104","Alpha","260.0"
"-327.59392845235783","-39.77710448425681","1818.0700377682788","Alpha","262.0"
"-320.41079975059716","-78.97416921489408","1825.0782059955177","Alpha","264.0"
"-308.55536008618697","-117.0196127240366","1832.0863742227564","Alpha","266.0"
"-292.20048846555915","-153.35864677444383","1839.094542449995","Alpha","268.0"
"-271.58467574490624","-187.46136642128198","1846.102710677234","Alpha","270.0"
"-247.00854689646343","-218.83047721946235","1853.1108789044727","Alpha","272.0"
"-218.83047721946218","-247.00854689646354","1860.1190471317113","Alpha","274.0"
"-187.46136642128087","-271.584675744907","1867.1272153589503","Alpha","276.0"
"-153.35864677444368","-292.20048846555926","1874.135383586189","Alpha","278.0"
"-117.01961272403646","-308.555360086187","1881.1435518134278","Alpha","280.0"
"-78.97416921489335","-320.41079975059733","1888.1517200406665","Alpha","282.0"
"-39.77710448425665","-327.59392845235783","1895.1598882679052","Alpha","284.0"
"0.00000000000036392436295683803","-330.0","1902.1680564951441","Alpha","286.0"
"39.777104484256206","-327.5939284523579","1909.1762247223828","Alpha","288.0"
"78.97416921489406","-320.41079975059716","1916.1843929496217","Alpha","290.0"
"117.01961272403715","-308.55536008618674","1923.1925611768604","Alpha","292.0"
"153.3586467744433","-292.20048846555943","1930.200729404099","Alpha","294.0"
"187.46136642128147","-271.5846757449066","1937.208897631338","Alpha","296.0"
"218.83047721946275","-247.00854689646306","1944.2170658585767","Alpha","298.0"
"247.00854689646314","-218.83047721946267","1951.2252340858154","Alpha","300.0"
"271.5846757449067","-187.46136642128135","1958.2334023130543","Alpha","302.0"
"292.2004884655595","-153.35864677444317","1965.241570540293","Alpha","304.0"
"308.5553600861868","-117.01961272403703","1972.2497387675317","Alpha","306.0"
"320.4107997505972","-78.97416921489395","1979.2579069947706","Alpha","308.0"
"327.5939284523579","-39.777104484256085","1986.2660752220095","Alpha","310.0"
"330.0","-0.0000000000002424800662311759","1993.274243449248","Alpha","312.0"
"327.59392845235783","39.77710448425677","2000.2824116764868","Alpha","314.0"
"320.410799750597","78.97416921489462","2007.2905799037258","Alpha","316.0"
"308.55536008618697","117.01961272403658","2014.2987481309642","Alpha","318.0"
"292.20048846555915","153.3586467744438","2021.3069163582031","Alpha","320.0"
"271.5846757449063","187.46136642128192","2028.315084585442","Alpha","322.0"
"247.00854689646346","218.8304772194623","2035.3232528126807","Alpha","324.0"
"218.83047721946224","247.0085468964635","2042.3314210399194","Alpha","326.0"
"187.46136642128087","271.584675744907","2049.3395892671583","Alpha","328.0"
"153.35864677444374","292.2004884655592","2056.3477574943972","Alpha","330.0"
"117.01961272403649","308.555360086187","2063.3559257216357","Alpha","332.0"
"78.9741692148934","320.41079975059733","2070.3640939488746","Alpha","334.0"
"39.77710448425669","327.59392845235783","2077.3722621761135","Alpha","336.0"
"-0.00000000000032351101858497538","330.0","2084.380430403352","Alpha","338.0"
"-165.0","0.000000000000020206672185931328","900.0","Bravo","0.0"
"-163.79696422617891","-19.888552242128267","909.54560844744594","Bravo","2.0"
"-160.2053998752986","-39.487084607446974","919.0912168948918","Bravo","4.0"
"-154.27768004309345","-58.50980636201838","928.63682534233772","Bravo","6.0"
"-146.10024423277963","-76.6793233872218","938.18243378978366","Bravo","8.0"
"-135.79233787245332","-93.73068321064068","947.7280422372296","Bravo","10.0"
"-123.50427344823166","-109.41523860973122","957.2736506846754","Bravo","12.0"
"-109.4152386097312","-123.50427344823167","966.8192591321214","Bravo","14.0"
"-93.730683210640734","-135.7923378724533","976.36486757956732","Bravo","16.0"
"-76.67932338722177","-146.10024423277966","985.9104760270131","Bravo","18.0"
"-58.50980636201842","-154.27768004309343","995.45608447445909","Bravo","20.0"
"-39.487084607447024","-160.20539987529858","1005.001692921905","Bravo","22.0"
"-19.88855224212824","-163.79696422617891","1014.547301369351","Bravo","24.0"
"-0.000000000000030310008278896987","-165.0","1024.092909816797","Bravo","26.0"
"19.888552242128327","-163.79696422617891","1033.6385182642427","Bravo","28.0"
"39.48708460744711","-160.20539987529855","1043.1841267116886","Bravo","30.0"
"58.50980636201837","-154.27768004309345","1052.7297351591346","Bravo","32.0"
"76.67932338722171","-146.10024423277966","1062.2753436065805","Bravo","34.0"
"93.73068321064068","-135.79233787245334","1071.8209520540263","Bravo","36.0"
"109.41523860973122","-123.50427344823167","1081.3665605014723","Bravo","38.0"
"123.50427344823163","-109.41523860973128","1090.9121689489182","Bravo","40.0"
"135.7923378724533","-93.730683210640734","1100.4577773963642","Bravo","42.0"
"146.10024423277966","-76.67932338722179","1110.00338584381","Bravo","44.0"
"154.27768004309343","-58.50980636201843","1119.548994291256","Bravo","46.0"
"160.20539987529858","-39.48708460744704","1129.094602738702","Bravo","48.0"
"163.79696422617891","-19.888552242128256","1138.6402111861478","Bravo","50.0"
"165.0","-0.000000000000040413344371862656","1148.1858196335936","Bravo","52.0"
"163.79696422617891","19.88855224212832","1157.7314280810397","Bravo","54.0"
"160.20539987529855","39.4870846074471","1167.2770365284855","Bravo","56.0"
"154.27768004309345","58.50980636201836","1176.8226449759313","Bravo","58.0"
"146.10024423277963","76.67932338722184","1186.3682534233774","Bravo","60.0"
"135.79233787245323","93.73068321064078","1195.9138618708232","Bravo","62.0"
"123.50427344823167","109.4152386097312","1205.4594703182693","Bravo","64.0"
"109.41523860973128","123.50427344823163","1215.005078765715","Bravo","66.0"
"93.730683210640734","135.7923378724533","1224.550687213161","Bravo","68.0"
"76.6793233872218","146.10024423277963","1234.0962956606068","Bravo","70.0"
"58.509806362018445","154.27768004309343","1243.6419041080528","Bravo","72.0"
"39.487084607447045","160.20539987529858","1253.1875125554986","Bravo","74.0"
"19.888552242128263","163.79696422617891","1262.7331210029447","Bravo","76.0"
"0.00000000000005051668046482832","165.0","1272.2787294503905","Bravo","78.0"
"-19.88855224212831","163.79696422617891","1281.8243378978364","Bravo","80.0"
"-39.48708460744709","160.20539987529855","1291.3699463452824","Bravo","82.0"
"-58.50980636201835","154.27768004309345","1300.9155547927282","Bravo","84.0"
"-76.6793233872217","146.1002442327797","1310.4611632401743","Bravo","86.0"
"-93.73068321064078","135.79233787245326","1320.0067716876201","Bravo","88.0"
"-109.4152386097312","123.5042734482317","1329.552380135066","Bravo","90.0"
"-123.50427344823163","109.41523860973128","1339.0979885825118","Bravo","92.0"
"-135.79233787245337","93.73068321064062","1348.6435970299578","Bravo","94.0"
"-146.10024423277963","76.6793233872218","1358.1892054774037","Bravo","96.0"
"-154.2776800430934","58.50980636201845","1367.7348139248497","Bravo","98.0"
"-160.2053998752986","39.48708460744691","1377.2804223722956","Bravo","100.0"
"-163.79696422617891","19.888552242128274","1386.8260308197414","Bravo","102.0"
"-165.0","0.00000000000006062001655779397","1396.3716392671872","Bravo","104.0"
"-163.7969642261789","-19.888552242128444","1405.9172477146333","Bravo","106.0"
"-160.20539987529855","-39.48708460744708","1415.4628561620793","Bravo","108.0"
"-154.27768004309345","-58.50980636201834","1425.0084646095252","Bravo","110.0"
"-146.10024423277957","-76.67932338722196","1434.554073056971","Bravo","112.0"
"-135.79233787245326","-93.73068321064076","1444.0996815044168","Bravo","114.0"
"-123.5042734482317","-109.41523860973119","1453.6452899518627","Bravo","116.0"
"-109.41523860973108","-123.5042734482318","1463.1908983993087","Bravo","118.0"
"-93.73068321064063","-135.79233787245334","1472.7365068467548","Bravo","120.0"
"-76.67932338722181","-146.10024423277963","1482.2821152942006","Bravo","122.0"
"-58.50980636201818","-154.2776800430935","1491.8277237416464","Bravo","124.0"
"-39.48708460744721","-160.20539987529855","1501.3733321890923","Bravo","126.0"
"-19.888552242128284","-163.79696422617891","1510.9189406365383","Bravo","128.0"
"0.00000000000022237552585028169","-165.0","1520.4645490839844","Bravo","130.0"
"19.888552242128142","-163.79696422617891","1530.0101575314302","Bravo","132.0"
"39.48708460744707","-160.20539987529858","1539.555765978876","Bravo","134.0"
"58.50980636201833","-154.27768004309345","1549.1013744263219","Bravo","136.0"
"76.67932338722194","-146.10024423277957","1558.646982873768","Bravo","138.0"
"93.73068321064076","-135.79233787245326","1568.1925913212137","Bravo","140.0"
"109.41523860973119","-123.5042734482317","1577.7381997686596","Bravo","142.0"
"123.5042734482316","-109.4152386097313","1587.2838082161056","Bravo","144.0"
"135.79233787245334","-93.73068321064063","1596.8294166635515","Bravo","146.0"
"146.10024423277963","-76.67932338722183","1606.3750251109973","Bravo","148.0"
"154.2776800430934","-58.509806362018466","1615.9206335584431","Bravo","150.0"
"160.2053998752986","-39.48708460744694","1625.4662420058894","Bravo","152.0"
"163.79696422617891","-19.888552242128295","1635.0118504533352","Bravo","154.0"
"165.0","-0.00000000000008082668874372531","1644.557458900781","Bravo","156.0"
"163.7969642261789","19.888552242128423","1654.103067348227","Bravo","158.0"
"160.20539987529858","39.48708460744706","1663.6486757956727","Bravo","160.0"
"154.27768004309345","58.509806362018324","1673.1942842431185","Bravo","162.0"
"146.10024423277957","76.67932338722193","1682.7398926905648","Bravo","164.0"
"135.7923378724533","93.730683210640748","1692.2855011380107","Bravo","166.0"
"123.50427344823171","109.41523860973118","1701.8311095854565","Bravo","168.0"
"109.41523860973109","123.50427344823179","1711.3767180329023","Bravo","170.0"
"93.730683210640649","135.79233787245334","1720.9223264803484","Bravo","172.0"
"76.67932338722183","146.10024423277963","1730.4679349277942","Bravo","174.0"
"58.5098063620182","154.2776800430935","1740.0135433752403","Bravo","176.0"
"39.487084607446945","160.2053998752986","1749.559151822686","Bravo","178.0"
"19.888552242128302","163.79696422617891","1759.104760270132","Bravo","180.0"
"0.00000000000009093002483669097","165.0","1768.6503687175777","Bravo","182.0"
"-19.888552242128416","163.7969642261789","1778.1959771650238","Bravo","184.0"
"-39.48708460744705","160.20539987529858","1787.7415856124696","Bravo","186.0"
"-58.50980636201832","154.27768004309345","1797.2871940599157","Bravo","188.0"
"-76.67932338722193","146.10024423277957","1806.8328025073615","Bravo","190.0"
"-93.730683210640748","135.7923378724533","1816.3784109548074","Bravo","192.0"
"-109.41523860973118","123.50427344823171","1825.9240194022532","Bravo","194.0"
"-123.50427344823179","109.41523860973109","1835.4696278496992","Bravo","196.0"
"-135.79233787245334","93.730683210640649","1845.0152362971453","Bravo","198.0"
"-146.10024423277963","76.67932338722184","1854.5608447445911","Bravo","200.0"
"-154.2776800430935","58.509806362018224","1864.106453192037","Bravo","202.0"
"-160.2053998752986","39.48708460744695","1873.6520616394828","Bravo","204.0"
"-163.79696422617891","19.888552242128313","1883.1976700869286","Bravo","206.0"
"-165.0","0.00000000000010103336092965665","1892.7432785343747","Bravo","208.0"
"-163.79696422617891","-19.888552242128405","1902.2888869818207","Bravo","210.0"
"-160.20539987529858","-39.48708460744704","1911.8344954292666","Bravo","212.0"
"-154.27768004309348","-58.5098063620183","1921.3801038767124","Bravo","214.0"
"-146.10024423277957","-76.67932338722191","1930.9257123241584","Bravo","216.0"
"-135.79233787245312","-93.73068321064099","1940.4713207716043","Bravo","218.0"
"-123.50427344823171","-109.41523860973118","1950.01692921905","Bravo","220.0"
"-109.41523860973109","-123.50427344823177","1959.5625376664962","Bravo","222.0"
"-93.7306832106409","-135.79233787245317","1969.108146113942","Bravo","224.0"
"-76.67932338722184","-146.10024423277963","1978.6537545613878","Bravo","226.0"
"-58.50980636201823","-154.2776800430935","1988.1993630088339","Bravo","228.0"
"-39.487084607446675","-160.20539987529867","1997.7449714562797","Bravo","230.0"
"-19.888552242128323","-163.79696422617891","2007.2905799037255","Bravo","232.0"
"0.00000000000018196218147841902","-165.0","2016.8361883511716","Bravo","234.0"
"19.888552242128103","-163.79696422617894","2026.3817967986174","Bravo","236.0"
"39.48708460744703","-160.20539987529858","2035.9274052460632","Bravo","238.0"
"58.50980636201857","-154.27768004309337","2045.4730136935093","Bravo","240.0"
"76.67932338722217","-146.10024423277946","2055.018622140955","Bravo","242.0"
"93.730683210640734","-135.7923378724533","2064.564230588401","Bravo","244.0"
"109.41523860973093","-123.50427344823191","2074.109839035847","Bravo","246.0"
"123.50427344823157","-109.41523860973133","2083.655447483293","Bravo","248.0"
"135.79233787245334","-93.73068321064068","2093.201055930739","Bravo","250.0"
"146.10024423277974","-76.67932338722159","2102.7466643781845","Bravo","252.0"
"154.2776800430936","-58.50980636201797","2112.292272825631","Bravo","254.0"
"160.2053998752986","-39.487084607446974","2121.8378812730766","Bravo","256.0"
"163.79696422617886","-19.888552242128625","2131.3834897205224","Bravo","258.0"
"165.0","-0.00000000000012124003311558795","2140.9290981679687","Bravo","260.0"
"163.79696422617891","19.888552242128384","2150.474706615414","Bravo","262.0"
"160.2053998752985","39.48708460744731","2160.0203150628604","Bravo","264.0"
"154.27768004309348","58.50980636201829","2169.5659235103058","Bravo","266.0"
"146.10024423277957","76.6793233872219","2179.111531957752","Bravo","268.0"
"135.79233787245315","93.73068321064096","2188.6571404051983","Bravo","270.0"
"123.50427344823173","109.41523860973115","2198.2027488526437","Bravo","272.0"
"109.41523860973112","123.50427344823176","2207.74835730009","Bravo","274.0"
"93.73068321064044","135.7923378724535","2217.293965747536","Bravo","276.0"
"76.67932338722187","146.1002442327796","2226.8395741949817","Bravo","278.0"
"58.509806362018246","154.2776800430935","2236.3851826424275","Bravo","280.0"
"39.4870846074467","160.20539987529867","2245.9307910898733","Bravo","282.0"
"19.888552242128345","163.79696422617891","2255.476399537319","Bravo","284.0"
"-0.00000000000016175550929248769","165.0","2265.022007984765","Bravo","286.0"
"-19.888552242128082","163.79696422617894","2274.5676164322113","Bravo","288.0"
"-39.48708460744702","160.20539987529858","2284.113224879657","Bravo","290.0"
"-58.50980636201855","154.27768004309337","2293.658833327103","Bravo","292.0"
"-76.67932338722163","146.10024423277972","2303.2044417745487","Bravo","294.0"
"-93.7306832106407","135.7923378724533","2312.7500502219946","Bravo","296.0"
"-109.41523860973135","123.50427344823154","2322.295658669441","Bravo","298.0"
"-123.50427344823154","109.41523860973133","2331.8412671168862","Bravo","300.0"
"-135.79233787245332","93.730683210640692","2341.3868755643325","Bravo","302.0"
"-146.10024423277972","76.67932338722161","2350.932484011779","Bravo","304.0"
"-154.2776800430934","58.50980636201853","2360.478092459224","Bravo","306.0"
"-160.2053998752986","39.48708460744699","2370.0237009066705","Bravo","308.0"
"-163.79696422617894","19.888552242128064","2379.5693093541163","Bravo","310.0"
"-165.0","0.0000000000001414467053015193","2389.114917801562","Bravo","312.0"
"-163.79696422617891","-19.888552242128366","2398.660526249008","Bravo","314.0"
"-160.20539987529853","-39.48708460744729","2408.206134696454","Bravo","316.0"
"-154.27768004309348","-58.50980636201827","2417.7517431438996","Bravo","318.0"
"-146.1002442327796","-76.67932338722188","2427.2973515913454","Bravo","320.0"
"-135.79233787245315","-93.730683210640947","2436.8429600387917","Bravo","322.0"
"-123.50427344823176","-109.41523860973113","2446.388568486237","Bravo","324.0"
"-109.41523860973113","-123.50427344823176","2455.9341769336834","Bravo","326.0"
"-93.73068321064045","-135.7923378724535","2465.4797853811297","Bravo","328.0"
"-76.67932338722188","-146.1002442327796","2475.025393828575","Bravo","330.0"
"-58.50980636201827","-154.27768004309348","2484.5710022760213","Bravo","332.0"
"-39.48708460744672","-160.20539987529867","2494.116610723467","Bravo","334.0"
"-19.888552242128366","-163.79696422617891","2503.662219170913","Bravo","336.0"
"0.00000000000014154883710655637","-165.0","2513.207827618359","Bravo","338.0"
